,Fish_ID_Revised,Fish_ID,GillClip_ID_Revised,GillClip_ID,Collection_Date,RunTimingGroup,Collection_Location,Processing_Date,Col_Location_Lat,Col_Location_Long,Fish_Wt,Fish_Leng_1,Fish_Leng_1_tape,Fish_Leng_2,Fish_Leng_2_tape,Fish_Ht,Fish_Ht_tape,Fish_Wdth,Fish_Grth,Sex,Gonad_Wt,DWP.,Fem_Fecun_1_num,Fem_Fecun_1_wt,Fem_Fecun_2_num,Fem_Fecun_2_wt,Fem_Fecun_3_num,Fem_Fecun_3_wt,Fem_Egg_Sz_1,Fem_Egg_Sz_2,Fem_Egg_Sz_3,Carcass.guts_Wt,Oto_Well_ID,Strontium_marked_Y.N,Scales_Y.N,Scales_num,Fish_Ground_Y.N,Gonad_Saved_Y.N,Gonad_Saved_wt,Fat_Meter_1._L,Fat_Meter_1._R,Fat_Meter_2._L,Fat_Meter_2._R,Fat_Meter_3._L,Fat_Meter_3._R,Fat_Meter_4._L,Fat_Meter_4._R,Dissect_Comments,SpawnStatus,Date_LabDryStart,Fish.BagWt_g,Date_LabDryFinal,DryFish.BagWt_g,Pwater,Pdry,Dry_Comments,Date_BCProcess,Bomb_ID_1,Bomb_PelletWt_g_1,EE_Value_1,EnergyDensity_mJ.kg_1,EnergyPDry_1,Bomb_ID_2,Bomb_PelletWt_g_2,EE_value_2,EnergyDensity_mJ.kg_2,EnergyPDry_2,Bomb_ID_3,Bomb_PelletWt_g_3,EE_value_3,EnergyDensity_mJ.kg_3,EnergyPDry_3,Bomb_ID_4,Bomb_PelletWt_g_4,EE_value_4,EnergyDensity_mJ.kg_4,EnergyPDry_4,BC_comments,Collection_RiverMile_m,Elevation_m,Year,Fish_Leng_1_mm,Fish_Ht_mm,Fish_Grth_mm,bodysize_pc,bodysize_pc_g_mm,Fecun_num_by_wt1
61,BC-1-2020,BC-20-1,BC-1-20,BC-20-1,2020-06-01,Early,Baird Canyon,7/8/20,60.73831,-144.5687,1.608,40.3,NA,3.8,NA,11.3,NA,6.2,29.1,F,0.086,1-C2,10,0.4423,10,0.2676,NA,NA,4,3.8,NA,1.364,1-B6,N,Y,7,Y,Y,0.044,12.1,8.3,11.6,11.9,8.6,12.4,3.6,5.5,,NA,10/6/20,55.5,10/11/20,22.2,0.6,0.4,NA,10/24/20,4,0.6198,923.3249,27.0087,10.80348,4,0.4556,923.3249,26.2067,10.48268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2020,403,113,291,-1.068338798,-1.068338798,1944.381641
64,BC-4-2020,BC-20-4,BC-4-20,BC-20-4,2020-06-01,Early,Baird Canyon,7/8/20,60.73831,-144.5687,2.142,44.4,NA,3.8,NA,12.8,NA,6.2,30.00935,F,0.184,1-B4,10,0.5983,10,0.5543,10,0.6202,4.9,4.9,5,1.738,1-A12,N,Y,7,Y,Y,0.102,10.3,8,8.7,9.7,8.2,6.1,2.6,1.9,,NA,10/6/20,58.1,10/11/20,20.2,0.6523,0.3477,NA,10/24/20,4,0.4073,923.3249,25.8517,8.988026506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2020,444,128,300.0935,0.380811077,0.380811077,3075.380244
66,BC-6-2020,BC-20-6,BC-6-20,BC-20-6,2020-06-01,Early,Baird Canyon,7/8/20,60.73831,-144.5687,2.12,43.7,NA,4.1,NA,12.6,NA,6.3,31.6,F,0.14,1-B8,NA,NA,NA,NA,NA,NA,6,NA,NA,1.796,1-B4,N,Y,6,Y,Y,0.066,8.4,9.3,13.5,8.2,12.9,7.8,3.9,3.2,,NA,10/6/20,57.6,10/11/20,22.4,0.6111,0.3889,NA,10/24/20,4,0.5232,923.3249,26.2745,10.21786111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2020,437,126,316,0.385587301,0.385587301,NA
67,BC-7-2020,BC-20-7,BC-7-20,BC-20-7,2020-06-01,Early,Baird Canyon,7/8/20,60.73831,-144.5687,1.418,39.9,NA,3.8,NA,10.7,NA,5,28.1,F,0.108,1-B3,NA,NA,NA,NA,NA,NA,5.5,NA,NA,1.178,1-A11,N,Y,7,Y,Y,0.05,8,12.5,8.4,10.5,5.9,8.7,1.9,1.4,Eggs gooshy,NA,10/6/20,65.3,10/11/20,25.1,0.6156,0.3844,NA,10/24/20,4,0.4224,923.3249,27.3985,10.53142956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2020,399,107,281,-1.533802049,-1.533802049,NA
68,BC-8-2020,BC-20-8,BC-8-20,BC-20-8,2020-06-01,Early,Baird Canyon,7/8/20,60.73831,-144.5687,1.61,39.9,NA,3.6,NA,11.7,NA,5.6,30,F,0.18,1-B5,10,NA,NA,NA,NA,NA,5,NA,NA,1.272,1-B1,NO READ,Y,7,Y,Y,0.104,6.4,5.1,2.8,2.4,1.4,4.2,0.8,1.3,Caliper reading 1 egg 6.4 mm,NA,10/6/20,66.4,10/11/20,21.7,0.6732,0.3268,NA,10/24/20,4,0.4588,923.3249,25.1628,8.22338494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2020,399,117,300,-0.833549092,-0.833549092,NA
70,BC-10-2020,BC-20-10,BC-10-20,BC-20-10,2020-06-01,Early,Baird Canyon,7/8/20,60.73831,-144.5687,1.798,42.6,NA,3.7,NA,12.5,NA,6,30.4,F,0.138,1-C4,NA,NA,NA,NA,NA,NA,5.1,NA,NA,1.49,1-B8,N,Y,5,Y,Y,0.058,5.2,5.1,4.1,4.9,2.4,3.3,2.6,1.1,,NA,10/6/20,50.6,10/11/20,17.6,0.6522,0.3478,NA,10/24/20,4,0.3856,923.3249,24.5659,8.54466087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2020,426,125,304,0.009777306,0.009777306,NA
71,BC-11-2020,BC-20-11,BC-11-20,BC-20-11,2020-06-02,Early,Baird Canyon,7/7/20,60.73831,-144.5687,1.808,41.7,NA,3.9,NA,11.6,NA,6.3,29.7,F,0.14,1-B2,10,0.385,10,0.4834,10,0.4833,5.5,4.9,5,NA,1-A10,N,Y,7,Y,Y,0.078,16.2,10.2,16.6,14.3,9.7,9.9,2.6,2.2,,NA,10/17/20,47.3,10/30/20,18.5,0.6089,0.3911,NA,11/5/20,4,0.294,923.3249,27.8273,10.8838277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2020,417,116,297,-0.632136804,-0.632136804,3636.363636
78,BC-18-2020,BC-20-18,BC-18-20,BC-20-18,2020-06-02,Early,Baird Canyon,7/7/20,60.73831,-144.5687,1.328,40.9,NA,3.1,NA,10.6,NA,6.4,26,F,0.13,1-A1,10,0.4627,10,2.8037,10,0.2786,4.8,4.5,4.6,1.064,1-A1,N,Y,5,Y,Y,0.05,9.7,9.3,6.1,7.2,3.1,4.2,1.2,2.7,,NA,10/17/20,45.2,10/30/20,15.7,0.6527,0.3473,NA,11/10/20,4,0.2389,923.3249,25.9962,9.02965354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2020,409,106,260,-1.69315646,-1.69315646,2809.59585
79,BC-19-2020,BC-20-19,BC-19-20,BC-20-19,2020-06-02,Early,Baird Canyon,7/7/20,60.73831,-144.5687,1.988,44,NA,3.7,NA,12.4,NA,6,30.9,F,0.12,1-A8,1,NA,NA,NA,NA,NA,4.7,NA,NA,1.682,1-A8,N,Y,5,Y,Y,0.06,16.2,12.7,11.8,10.8,7.9,6,3.6,2.5,,NA,10/17/20,57.2,10/30/20,20.6,0.6399,0.3601,NA,11/10/20,2,0.3533,922.6597,26.7499,9.633705245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2020,440,124,309,0.251596805,0.251596805,NA
80,BC-20-2020,BC-20-20,BC-20-20,BC-20-20,2020-06-02,Early,Baird Canyon,7/8/20,60.73831,-144.5687,1.942,43.3,NA,3.7,NA,12.5,NA,6,31.4,F,0.114,1-C3,1,NA,NA,NA,NA,NA,5,NA,NA,1.662,1-B7,N,Y,5,Y,Y,0.066,12.6,12.8,11,9.7,6.2,6,1.8,1.6,,NA,10/17/20,53.5,10/30/20,19.4,0.6374,0.3626,NA,11/10/20,4,0.3924,923.3249,25.2556,9.158105421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2020,433,125,314,0.250769008,0.250769008,NA
82,BC-22-2020,BC-20-22,BC-22-20,BC-20-22,2020-06-30,Middle,Baird Canyon,7/10/20,60.73831,-144.5687,1.986,44.8,NA,3.6,NA,12.2,NA,5.6,30.1,F,0.088,1-E1,10,0.1738,10,0.277,10,0.2523,3.2,3.3,3.1,1.728,1-C9,Y,Y,9,Y,Y,0.036,9.7,12.1,11.5,11.4,5.6,6.8,3.5,4.5,,NA,10/30/20,53.9,11/3/20,20.7,0.616,0.384,NA,11/14/20,4,0.4889,923.3249,26.1697,10.05033006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2020,448,122,301,0.183986416,0.183986416,5063.291139
88,BC-28-2020,BC-20-28,BC-28-20,BC-20-28,2020-06-30,Middle,Baird Canyon,7/10/20,60.73831,-144.5687,1.566,41.6,NA,3.1,NA,11.1,NA,5.7,28,F,0.11,1-E6,10,0.2474,10,0.3454,10,0.2944,3.5,3.4,3.8,1.34,1-D2,N,Y,10,Y,Y,0.05,9.2,11.3,6.9,6.3,4.7,2.5,3.4,1.5,,NA,10/30/20,44.7,11/3/20,16.8,0.6242,0.3758,NA,11/14/20,4,0.3338,923.3249,26.5014,9.960257718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2020,416,111,280,-1.09554444,-1.09554444,4446.240905
89,BC-29-2020,BC-20-29,BC-29-20,BC-20-29,2020-06-30,Middle,Baird Canyon,7/10/20,60.73831,-144.5687,2.25,47.3,NA,3.8,NA,12,NA,6.2,31.2,F,0.15,1-E8,10,0.2936,10,0.3864,10,0.36,3.9,4.2,4,1.932,1-D4,N,Y,7,Y,Y,0.084,6.5,6.9,5.4,5.4,5.7,9.7,3.2,1.5,Worms on guts,NA,10/30/20,52,11/3/20,18.6,0.6423,0.3577,NA,11/14/20,2,0.3333,955.4635,27.7734,9.934331538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2020,473,120,312,0.632992423,0.632992423,5108.991826
90,BC-30-2020,BC-20-30,BC-30-20,BC-20-30,2020-06-30,Middle,Baird Canyon,7/10/30,60.73831,-144.5687,1.824,43.9,NA,3.8,NA,11.6,NA,5.4,29,F,0.152,1-E3,10,0.4419,10,0.4323,10,0.3794,4.2,4.2,4.3,1.562,1-C11,N,Y,6,Y,Y,0.082,5.9,5.8,7.9,8.5,5.9,5.4,3.3,2.2,,NA,10/30/20,45.4,11/3/20,17.9,0.6057,0.3943,NA,11/14/20,4,0.3808,923.3249,27.2128,10.72927577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2020,439,116,290,-0.373832302,-0.373832302,3439.692238
92,BC-32-2020,BC-20-32,BC-32-20,BC-20-32,2020-07-01,Middle,Baird Canyon,7/9/20,60.73831,-144.5687,2.31,44.8,NA,4.1,NA,12.8,NA,6.2,32.7,F,0.236,1-C7,10,0.7544,10,0.5627,10,0.4766,4.5,4.4,4.4,1.88,1-B11,N,Y,7,Y,Y,0.108,5.5,5.5.,5.7,3.3,3.2,5.1,1.6,2.1,,NA,11/5/20,56.1,11/10/20,19.9,0.6453,0.3547,NA,11/15/20,4,0.2715,923.3249,25.9703,9.212281105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2020,448,128,327,0.793758319,0.793758319,3128.313892
93,BC-33-2020,BC-20-33,BC-33-20,BC-20-33,2020-07-01,Middle,Baird Canyon,7/9/20,60.73831,-144.5687,1.834,43,NA,3.5,NA,11.5,NA,6.1,29,F,0.158,1-D5,NA,NA,NA,NA,NA,NA,5.2,NA,NA,1.518,1-C5,N,Y,10,Y,Y,0.078,6.7,3.4,6.9,6.1,4.4,5.4,2.1,3.2,gooshy eggs,NA,11/5/20,61.2,11/10/20,21.9,0.6422,0.3578,NA,11/15/20,2,0.264,955.4635,26.8669,9.614135784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2020,430,115,290,-0.562043022,-0.562043022,NA
94,BC-34-2020,BC-20-34,BC-34-20,BC-20-34,2020-07-01,Middle,Baird Canyon,7/10/20,60.73831,-144.5687,1.832,43.3,NA,4,NA,11.3,NA,5.4,30.4,F,0.142,1-D8,NA,NA,NA,NA,NA,NA,5.1,NA,NA,1.536,1-C8,N,Y,7,Y,Y,0.074,7.6,5.9,3.2,4.2,2.3,2.9,1.8,1.3,"Wormy guts - pete took photo, gooshy eggs",NA,11/5/20,56.8,11/10/20,20.5,0.6391,0.3609,NA,11/15/20,4,0.3874,923.3249,26.7063,9.63871743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2020,433,113,304,-0.423292237,-0.423292237,NA
95,BC-35-2020,BC-20-35,BC-35-20,BC-20-35,2020-07-01,Middle,Baird Canyon,7/9/20,60.73831,-144.5687,2.048,46.2,NA,4,NA,11.4,NA,5.9,29.1,F,0.098,1-D6,NA,NA,NA,NA,NA,NA,4.2,NA,NA,1.78,1-C6,N,Y,6,Y,Y,0.042,7.7,6.2,5.7,5.6,3.8,4.2,1.9,3,,NA,11/5/20,56.3,11/10/20,20.4,0.6377,0.3623,NA,11/15/20,2,0.3912,955.4635,26.5213,9.609849378,4,0.4298,923.3249,25.8724,9.374723979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2020,462,114,291,-0.08645021,-0.08645021,NA
96,BC-36-2020,BC-20-36,BC-36-20,BC-20-36,2020-07-01,Middle,Baird Canyon,7/9/20,60.73831,-144.5687,1.548,40.1,NA,3.7,NA,11.2,NA,5.1,28.4,F,0.124,1-D3,10,0.4618,10,0.3906,10,0.4142,3.9,4.2,4,NA,1-C3,N,Y,5,Y,Y,0.064,7.9,10.6,6.8,6.9,4,4.9,1.1,3.1,,NA,11/5/20,56.1,11/10/20,20.3,0.6381,0.3619,NA,11/15/20,2,0.4738,955.4635,28.467,10.30089305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2020,401,112,284,-1.236348376,-1.236348376,2685.145084
99,BC-39-2020,BC-20-39,BC-39-20,BC-20-39,2020-07-01,Middle,Baird Canyon,7/10/20,60.73831,-144.5687,1.786,42.2,NA,3.9,NA,11.5,NA,5.3,29.8,F,0.078,1-E7,10,0.1876,10,0.1959,10,0.1616,3.6,3.4,3.4,1.58,1-D3,N,Y,5,Y,Y,0.034,7.7,8.9,8.6,6.4,6.5,5.2,3,3.5,,NA,11/5/20,69.2,11/10/20,26.4,0.6185,0.3815,NA,11/15/20,4,0.4372,923.3249,27.5083,10.49449595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2020,422,115,298,-0.58513004,-0.58513004,4157.782516
103,CA-3-2020,CA-20-43,CA-3-20,CA-20-43,2020-08-06,Late,Chitina Airport,9/28/20,61.586499,-144.427586,2.29,46.7,NA,3.9,NA,12,NA,5.8,30.8,F,0.266,Fin Well ID 3(2),NA,NA,NA,NA,NA,NA,5.1,NA,NA,1.93,2-E3,N,Y,5,Y,Y,0.116,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.7,,NA,11/14/20,175,11/19/20,47.7,0.7274,0.2726,NA,11/24/20,2,0.394,955.4635,23.7983,6.486736629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150114.06,NA,2020,467,120,308,0.485800359,0.485800359,NA
104,CA-4-2020,CA-20-44,CA-4-20,CA-20-44,2020-08-06,Late,Chitina Airport,9/28/20,61.586499,-144.427586,1.492,41.4,NA,3.5,NA,10,NA,5,26,F,0.158,Fin well ID 7(2),10,0.804,NA,NA,NA,NA,4.2,NA,NA,1.248,2-E7,N,Y,5,Y,Y,0.076,1,0.7,0.7,1.2,0.6,0.7,0.5,0.9,,NA,11/14/20,108.1,11/19/20,28.1,0.7401,0.2599,NA,11/24/20,2,0.4491,955.4635,23.668,6.152366327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150114.06,NA,2020,414,100,260,-1.885880895,-1.885880895,1965.174129
107,CA-7-2020,CA-20-47,CA-7-20,CA-20-47,2020-08-06,Late,Chitina Airport,9/28/20,61.586499,-144.427586,1.63,41.9,NA,3.6,NA,10.5,NA,5.3,27.6,F,0.19,Fin well ID 48,10,0.7253,NA,NA,NA,NA,5,NA,NA,1.35,2-D12,N,Y,5,Y,Y,0.076,1.3,1.1,1.5,1.3,1,0.8,1.3,0.6,,NA,11/14/20,182.3,11/19/20,54.4,0.7016,0.2984,NA,11/24/20,2,0.3975,955.4635,25.6418,7.651749424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150114.06,NA,2020,419,105,276,-1.37196671,-1.37196671,2619.60568
111,CA-11-2020,CA-20-51,CA-11-20,CA-20-51,2020-08-06,Late,Chitina Airport,9/28/20,61.586499,-144.427586,1.798,44.3,NA,4,NA,10.5,NA,5.2,27,F,0.23,Fin well ID 1(2),10,0.7713,NA,NA,NA,NA,4.6,NA,NA,1.474,2-E1 (1 oto),N,Y,5,Y,Y,0.106,NA,,NA,NA,NA,NA,NA,NA,,NA,11/23/20,96.9,1/5/21,24.6,0.7461,0.2539,NA,2/5/21,4,0.407,923.3249,21.7376,5.518523839,4,0.4458,923.3249,21.4656,5.449471207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150114.06,NA,2020,443,105,270,-1.068927413,-1.068927413,2981.978478
112,CA-12-2020,CA-20-52,CA-12-20,CA-20-52,2020-08-06,Late,Chitina Airport,9/28/20,61.586499,-144.427586,1.66,42,NA,3.7,NA,10.5,NA,5,26.8,F,0.18,Fin clip ID: 46,10,0.6211,NA,NA,NA,NA,4.4,NA,NA,1.384,2-D10 (1 oto),Y,Y,6,Y,Y,0.086,4.3,3.5,4.2,2.8,4.5,3.1,2.7,1.9,,NA,11/23/20,108.9,1/5/21,35.4,0.6749,0.3251,NA,2/5/21,2,0.4661,955.4635,25.5009,8.28954876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150114.06,NA,2020,420,105,268,-1.459994593,-1.459994593,2898.084044
113,CA-13-2020,CA-20-53,CA-13-20,CA-20-53,2020-08-06,Late,Chitina Airport,9/28/20,61.586499,-144.427586,1.426,39.9,NA,3.6,NA,10.4,NA,4.7,26.1,F,0.164,Fin well ID: 9(2),NA,NA,NA,NA,NA,NA,4.2,NA,NA,1.198,2-E9 (1 oto),N,Y,6,Y,Y,0.092,0.8,0.8,1.1,1.6,1.9,0.7,0.7,0.6,,NA,11/23/20,108.4,1/5/21,28.6,0.7362,0.2638,NA,2/5/21,2,0.4873,955.4635,23.876,6.299387454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150114.06,NA,2020,399,104,261,-1.929601761,-1.929601761,NA
114,CA-14-2020,CA-20-54,CA-14-20,CA-20-54,2020-08-06,Late,Chitina Airport,,61.586499,-144.427586,2.076,48.5,NA,3.6,NA,10.5,NA,5.4,28,F,0.18,Fin well ID 2(2),NA,NA,NA,NA,NA,NA,4.6,NA,NA,1.806,2-E2,Y,Y,4,Y,Y,0.09,1.3,1.7,1,1.4,0.8,1.3,0.8,0.7,,NA,11/23/20,133,1/5/21,39.7,0.7015,0.2985,NA,2/5/21,4,0.5125,923.3249,18.1292,5.411498045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150114.06,NA,2020,485,105,280,-0.272361204,-0.272361204,NA
115,CA-16-2020,CA-20-56,CA-16-20,CA-20-56,2020-08-06,Late,Chitina Airport,9/28/20,61.586499,-144.427586,1.872,44,NA,4,NA,11.2,NA,5.2,28.5,F,0.192,Fin Well ID: 5(2),NA,NA,NA,NA,NA,NA,5.1,NA,NA,1.582,2-E5 (1 OTO),N,Y,6,Y,Y,0.076,2.1,1.6,1.8,1.5,1.6,1.9,1.3,0.8,,NA,11/23/20,110,1/5/21,33.1,0.6991,0.3009,NA,2/5/21,4,0.3226,923.3249,18.0088,5.419011636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150114.06,NA,2020,440,112,285,-0.604291959,-0.604291959,NA
118,CA-19-2020,CA-20-59,CA-19-20,CA-20-59,2020-08-06,Late,Chitina Airport,9/28/20,61.586499,-144.427586,1.336,40,NA,3.8,NA,9.7,NA,4.8,25.6,F,0.134,Fin well ID 47,NA,NA,NA,NA,NA,NA,5.2,NA,NA,1.132,2-D11,N,Y,8,Y,Y,0.064,1.5,2.5,1.2,1.6,1.1,1.2,2,1,,NA,11/23/20,93.4,1/5/21,27.2,0.7088,0.2912,NA,2/5/21,4,0.4181,923.3249,23.8014,6.931456959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150114.06,NA,2020,400,97,256,-2.296107529,-2.296107529,NA
120,BC-1-2021,BC-1-2021,BC-1-21,BC-L-1,2021-06-02,Early,Baird Canyon,6/23/21,60.73831,-144.5687,2.328,45.4,NA,3.3,NA,13.7,NA,7.7,31,F,0.132,1-C1,10,0.4759,NA,NA,NA,NA,5.5,NA,NA,2.088,1-B5,N,Y,5,Y,Y,0.072,9.2,8,9.1,7.6,5.8,5.5,2.5,2.6,,NA,9/24/21,64.7,9/28/21,23.6,0.6352,0.3648,NA,10/1/21,2,0.3798,955.4635,25.689,9.370330757,NA,9.0774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2021,454,137,310,1.076347436,1.076347436,2773.691952
121,BC-2-2021,BC-2-2021,BC-2-21,BC-L-2,2021-06-02,Early,Baird Canyon,6/23/21,60.73831,-144.5687,1.646,42.2,NA,3.1,NA,11.4,NA,6.4,28.4,F,0.15,1-C3,10,0.5758,NA,NA,NA,NA,5,NA,NA,1.4,1-B7,N,Y,5,Y,Y,0.084,4.9,4.6,2.7,3.3,1.2,1.4,1.3,1.5,,NA,9/24/21,71.4,9/30/21,22.5,0.6849,0.3151,NA,10/1/21,2,0.2907,955.4635,25.4255,8.012237395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2021,422,114,284,-0.812306265,-0.812306265,2605.071205
122,BC-3-2021,BC-3-2021,BC-3-21,BC-L-3,2021-06-02,Early,Baird Canyon,6/23/21,60.73831,-144.5687,2.564,46.3,NA,4.1,NA,14.2,NA,7.7,34.3,F,0.222,1-B7,12,0.8384,NA,NA,NA,NA,4.1,NA,NA,2.222,1-B3,N,Y,5,Y,Y,0.11,10.3,10.4,7.8,7.4,5.7,5.2,3.1,4.2,,NA,9/24/21,122,9/30/21,43.1,0.6467,0.3533,NA,10/1/21,4,0.3544,923.3249,26.1136,9.225378361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2021,463,142,343,1.874546411,1.874546411,3177.480916
123,BC-4-2021,BC-4-2021,BC-4-21,BC-L-4,2021-06-02,Early,Baird Canyon,6/23/21,60.73831,-144.5687,1.984,46.5,NA,4.3,NA,12.3,NA,6.5,29.5,F,0.088,1-B3,10,0.276,NA,NA,NA,NA,4.5,NA,NA,1.804,1-A11,N,Y,6,Y,Y,0.04,7,14.3,11.5,12.1,3.9,4.4,2.6,3.2,,NA,9/24/21,115,9/30/21,42.9,0.627,0.373,NA,10/1/21,2,0.3475,955.4635,28.4498,10.61301235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2021,465,123,295,0.421259515,0.421259515,3188.405797
124,BC-5-2021,BC-5-2021,BC-5-21,BC-L-5,2021-06-02,Early,Baird Canyon,6/23/21,60.73831,-144.5687,2.44,46.6,NA,3.3,NA,13.8,NA,7.9,33,F,0.112,1-B8,10,0.1978,NA,NA,NA,NA,4.5,NA,NA,2.198,1-B4,N,Y,5,Y,Y,0.052,7,7.2,6.4,8.5,2.9,3.5,2.6,2.1,,NA,9/24/21,106.6,9/30/21,36.2,0.6604,0.3396,NA,10/1/21,4,0.3263,923.3249,26.0386,8.84237636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2021,466,138,330,1.571932428,1.571932428,5662.285137
126,BC-7-2021,BC-7-2021,BC-7-21,BC-L-7,2021-06-02,Early,Baird Canyon,6/23/21,60.73831,-144.5687,1.892,43.6,NA,3.4,NA,12.8,NA,6.4,30.5,F,0.132,1-C4,10,0.3339,NA,NA,NA,NA,5.2,NA,NA,1.674,1-B8,N,Y,5,Y,Y,0.064,7.6,6.4,7,6.5,3.7,4.8,1.4,3.3,,NA,9/24/21,91.6,9/30/21,34.7,0.6212,0.3788,NA,10/1/21,2,0.3331,955.4635,27.0696,10.25453188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2021,436,128,305,0.31754667,0.31754667,3953.279425
131,BC-12-2021,BC-12-2021,BC-12-21,BC-L-12,2021-06-02,Early,Baird Canyon,6/23/21,60.73831,-144.5687,2.106,45.3,NA,3.5,NA,12.5,NA,7,30.5,F,0.148,1-B6,10,0.3742,NA,NA,NA,NA,4.5,NA,NA,1.852,1-B2,N,Y,5,Y,Y,0.058,15.5,12.4,12,9.9,5.5,5.5,3.9,2.6,,NA,9/24/21,97,9/29/21,34.1,0.6485,0.3515,NA,10/1/21,4,0.4261,955.4635,27.6429,9.717761753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2021,453,125,305,0.451351034,0.451351034,3955.104222
132,BC-13-2021,BC-13-2021,BC-13-21,BC-L-13,2021-06-02,Early,Baird Canyon,6/23/21,60.73831,-144.5687,1.92,43.8,NA,4.5,NA,11.9,NA,6.3,28.6,F,0.176,1-C2,10,0.5919,NA,NA,NA,NA,6,NA,NA,1.654,1-B6,N,Y,5,Y,Y,0.094,5.4,4.7,4.5,2.9,1.5,2.6,1.3,1.6,,NA,9/26/21,81.8,9/30/21,28.3,0.654,0.346,NA,10/1/21,2,0.2672,955.4635,26.5696,9.192172127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2021,438,119,286,-0.305610468,-0.305610468,2973.475249
