,Fish_ID_Revised,Fish_ID,GillClip_ID_Revised,GillClip_ID,Collection_Date,RunTimingGroup,Collection_Location,Processing_Date,Col_Location_Lat,Col_Location_Long,Fish_Wt,Fish_Leng_1,Fish_Leng_1_tape,Fish_Leng_2,Fish_Leng_2_tape,Fish_Ht,Fish_Ht_tape,Fish_Wdth,Fish_Grth,Sex,Gonad_Wt,DWP.,Fem_Fecun_1_num,Fem_Fecun_1_wt,Fem_Fecun_2_num,Fem_Fecun_2_wt,Fem_Fecun_3_num,Fem_Fecun_3_wt,Fem_Egg_Sz_1,Fem_Egg_Sz_2,Fem_Egg_Sz_3,Carcass.guts_Wt,Oto_Well_ID,Strontium_marked_Y.N,Scales_Y.N,Scales_num,Fish_Ground_Y.N,Gonad_Saved_Y.N,Gonad_Saved_wt,Fat_Meter_1._L,Fat_Meter_1._R,Fat_Meter_2._L,Fat_Meter_2._R,Fat_Meter_3._L,Fat_Meter_3._R,Fat_Meter_4._L,Fat_Meter_4._R,Dissect_Comments,SpawnStatus,Date_LabDryStart,Fish.BagWt_g,Date_LabDryFinal,DryFish.BagWt_g,Pwater,Pdry,Dry_Comments,Date_BCProcess,Bomb_ID_1,Bomb_PelletWt_g_1,EE_Value_1,EnergyDensity_mJ.kg_1,EnergyPDry_1,Bomb_ID_2,Bomb_PelletWt_g_2,EE_value_2,EnergyDensity_mJ.kg_2,EnergyPDry_2,Bomb_ID_3,Bomb_PelletWt_g_3,EE_value_3,EnergyDensity_mJ.kg_3,EnergyPDry_3,Bomb_ID_4,Bomb_PelletWt_g_4,EE_value_4,EnergyDensity_mJ.kg_4,EnergyPDry_4,BC_comments,Collection_RiverMile_m,Elevation_m,Year,Fish_Leng_1_mm,Fish_Ht_mm,Fish_Grth_mm,bodysize_pc,bodysize_pc_g_mm,Fecun_num_by_wt1
21,CC-21-2019,CC21-2019,CC-21-19,CC21,2019-06-19,Middle,Canyon Creek,8/8/19,61.40097,-144.51765,1.156,37.8,38.8,3.3,3.7,6,11.3,4.9,24.1,F,0.144,N/A,48,3.4487,61,4.7269,44,3.3102,4.2,4.5,4.4,0.956,1-H2,N,Y,5,Y,Y,0.076,2.3,3.4,1.9,2.5,1.7,1.6,1,1,,NA,10/8/19,106.9,10/17/19,33.1,0.6904,0.3096,NA,10/19/19,4,0.2623,923.4282,23.8698,7.390929654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128939.07,NA,2019,378,60,241,-4.518043027,-4.518043027,2004.233479
24,CC-24-2019,CC24-2019,CC-24-19,CC24,2019-06-19,Middle,Canyon Creek,8/7/19,61.40097,-144.51765,1.922,43.6,44.4,3.5,4.3,11.8,12.3,6.7,30.5,F,0.208,N/A,48,4.4344,46,4.5046,53,5.9282,5,4.7,5.1,1.616,1-G6,N,Y,5,Y,Y,0.098,4.2,2.9,3.9,2.7,1.7,1.6,1.6,1.3,,NA,10/17/19,167.3,10/23/19,49.4,0.7047,0.2953,NA,10/29/19,2,0.2882,924.0889,25.3818,7.494685714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128939.07,NA,2019,436,118,305,-0.135940366,-0.135940366,2251.488364
25,CC-25-2019,CC25-2019,CC-25-19,CC25,2019-06-19,Middle,Canyon Creek,7/21/19,61.40097,-144.51765,2.388,50.8,51.6,4.7,5.6,12.3,14.3,NA,31.1,F,0.158,N/A,53,2.267,56,2.1292,78,2.7756,3.3,3,3.1,2.138,1-B3,N,Y,5,Y,Y,0.074,9.3,5.7,6.8,5.6,4.8,2.7,1.8,1.8,,NA,10/8/19,140.7,10/17/19,47.7,0.661,0.339,NA,10/29/19,4,0.3003,923.4282,25.7515,8.730252665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128939.07,NA,2019,508,123,311,1.311625362,1.311625362,3693.868549
29,CC-29-2019,CC29-2019,CC-29-19,CC29,2019-06-19,Middle,Canyon Creek,7/21/19,61.40097,-144.51765,1.744,43.5,44.3,4.3,4.7,11.6,13.1,NA,29.7,F,0.17,N/A,73,4.5324,52,3.1023,54,3.5869,3.7,4.1,4.3,1.512,1-B9,N,Y,6,Y,Y,0.076,8.9,10.2,6.8,8,6.6,5.5,3.5,3.5,,NA,10/8/19,163.7,10/17/19,52.9,0.6768,0.3232,NA,11/5/19,2,0.4396,924.0889,26.6648,8.616786316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128939.07,NA,2019,435,116,297,-0.346412771,-0.346412771,2738.063719
30,CC-30-2019,CC30-2019,CC-30-19,CC30,2019-06-19,Middle,Canyon Creek,8/8/19,61.40097,-144.51765,1.386,38.8,40.4,3.6,4.2,10.9,11.6,5.6,26.6,F,0.188,N/A,32,3.088,39,4.7198,45,5.0096,4.7,4.4,4.8,1.128,1-H3,N,Y,5,Y,Y,0.09,2.2,2.2,2.2,2.1,1.7,1.3,1.3,1.2,,NA,10/8/19,120.7,10/17/19,35.2,0.7084,0.2916,NA,11/10/19,4,0.3216,923.4282,25.4453,7.42066744,2,0.2813,924.0889,24.3311,7.095730903,4,0.2626,923.4282,24.5339,7.154873902,NA,NA,NA,NA,NA,NA,128939.07,NA,2019,388,109,266,-1.812528973,-1.812528973,1948.186528
35,CC-35-2019,CC35-2019,CC-35-19,CC35,2019-06-19,Middle,Canyon Creek,8/6/19,61.40097,-144.51765,1.944,44.9,49.8,4,5.4,10.3,13.4,5.7,29.2,F,0.176,N/A,67,4.1803,49,3.7597,56,3.7773,4.4,4.7,4.1,1.672,1- F2,N,Y,5,Y,Y,0.084,7.1,6.7,7.1,6.2,4.6,2.2,2.2,1.4,small bite mark on right side size of quarter,NA,10/17/19,212.6,10/23/19,66.8,0.6858,0.3142,NA,11/10/19,4,0.3044,923.4282,27.572,8.663262465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128939.07,NA,2019,449,103,292,-0.778654516,-0.778654516,2820.850178
36,CC-36-2019,CC36-2019,CC-36-19,CC36,2019-06-19,Middle,Canyon Creek,8/8/19,61.40097,-144.51765,1.672,40.9,41.4,3,3.5,11.8,11.5,6.6,28.7,F,0.174,N/A,31,3.2515,42,3.9067,47,4.1473,4.5,5,4.5,1.44,1-H8,N,Y,5,Y,Y,0.08,3.5,3.3,2.6,3.1,2,1.4,1,0.8,,NA,10/17/19,238.7,10/23/19,73.8,0.6908,0.3092,NA,11/10/19,2,0.3456,923.6164,24.1611,7.470000754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128939.07,NA,2019,409,118,287,-0.798304655,-0.798304655,1658.926649
37,CC-37-2019,CC37-2019,CC-37-19,CC37,2019-06-19,Middle,Canyon Creek,8/6/19,61.40097,-144.51765,1.35,40.2,40.5,3.2,3.9,9.7,11.5,5.7,26,F,0.096,N/A,53,3.205,42,3.0111,67,3.4784,4.3,4.5,4.5,1.198,1-F10,N,Y,5,Y,Y,0.04,5.6,6,4.3,4.4,2.1,2.7,1.6,1.6,,NA,10/17/19,173.4,10/23/19,52.1,0.6995,0.3005,NA,11/13/19,4,0.208,923.4282,23.0976,6.939936332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128939.07,NA,2019,402,97,260,-2.212409695,-2.212409695,1587.519501
39,CC-39-2019,CC39-2019,CC-39-19,CC39,2019-06-19,Middle,Canyon Creek,8/8/19,61.40097,-144.51765,1.592,42.2,43.5,4.2,4.4,10.4,12.2,5.6,26.6,F,0.148,N/A,51,4.2178,35,6.532,47,3.0487,4.2,4.3,4.1,1.368,1-H1,N,Y,6,Y,Y,0.07,4.5,4.5,3.2,3.6,2.3,2.4,1.5,1.2,,NA,10/17/19,174.8,10/23/19,56.2,0.6785,0.3215,NA,11/13/19,4,0.2944,923.4282,24.3526,7.82961167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128939.07,NA,2019,422,104,266,-1.499571542,-1.499571542,1789.558538
40,CC-40-2019,CC40-2019,CC-40-19,CC40,2019-06-19,Middle,Canyon Creek,8/8/19,61.40097,-144.51765,1.66,41.5,42.8,3.5,4.2,11,12.8,5.6,27.5,F,0.186,N/A,48,5.1597,61,6.3251,36,3.9685,4.3,4.4,4.4,1.386,1-G12,N,Y,7,Y,Y,0.08,5.4,5.3,4.7,3.8,3,2.1,1.4,1.3,,NA,10/17/19,170.4,10/23/19,49.5,0.7095,0.2905,NA,11/13/19,2,0.2083,923.6164,23.947,6.956434859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128939.07,NA,2019,415,110,275,-1.221705101,-1.221705101,1730.333159
