Fish_ID_Revised,Fish_ID,GillClip_ID_Revised,GillClip_ID,Collection_Date,RunTimingGroup,Collection_Location,Processing_Date,Col_Location_Lat,Col_Location_Long,Fish_Wt,Sex,Gonad_Wt,DWP.,Fem_Fecun_1_num,Fem_Fecun_1_wt,Fem_Fecun_2_num,Fem_Fecun_2_wt,Fem_Fecun_3_num,Fem_Fecun_3_wt,Fem_Egg_Sz_1,Fem_Egg_Sz_2,Fem_Egg_Sz_3,Carcass.guts_Wt,Oto_Well_ID,Strontium_marked_Y.N,Scales_Y.N,Scales_num,Fish_Ground_Y.N,Gonad_Saved_Y.N,Gonad_Saved_wt,Fat_Meter_1._L,Fat_Meter_1._R,Fat_Meter_2._L,Fat_Meter_2._R,Fat_Meter_3._L,Fat_Meter_3._R,Fat_Meter_4._L,Fat_Meter_4._R,Dissect_Comments,Date_LabDryStart,Fish.BagWt_g,Date_LabDryFinal,DryFish.BagWt_g,Pwater,Pdry,Dry_Comments,Date_BCProcess,Bomb_ID_1,Bomb_PelletWt_g_1,EE_Value_1,EnergyDensity_mJ.kg_1,EnergyPDry_1,Bomb_ID_2,Bomb_PelletWt_g_2,EE_value_2,EnergyDensity_mJ.kg_2,EnergyPDry_2,Bomb_ID_3,Bomb_PelletWt_g_3,EE_value_3,EnergyDensity_mJ.kg_3,EnergyPDry_3,Bomb_ID_4,Collection_RiverMile_m,Elevation_m,Year,Group_Assignment,Fish_Leng_1_mm,Fish_Leng_2_mm,Fish_Ht_mm,Fish_Grth_mm,Fish_Wdth_mm,Fish_Wt_g,bodysize_pc_g_mm,Work,Gonad_Wt_g,EnergyPDry_1_mJ_g,Carcass.guts_Wt_g,TotalEnergy_carcass_mJ,fineness
MN-4-2020,MN-20-4,MN-4-20,MN-20-4,2020-07-30,NA,Mentasta,9/28/20,62.94958,-143.35984,1.642,M,0.038,Fin well ID 17(2),NA,NA,NA,NA,NA,NA,NA,NA,NA,1.492,2-F5,N,Y,3,Y,Y,0.016,0.3,0.3,0.3,0.5,0.3,0.3,0.4,0.5,,1/10/21,79.3,1/14/21,14.6,0.8159,0.1841,NA,2/8/21,2,0.5085,955.4635,20.8907,3.846207062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472102.04,678,2020,Slana,499,74,125,306,44,1642,1.170067851,320.1,38,0.003846207,1492,5.738540937,11.34090909
MN-5-2020,MN-20-5,MN-5-20,MN-20-5,2020-07-30,NA,Mentasta,9/28/20,62.94958,-143.35984,1.724,M,0.018,Fin well: 13(2),NA,NA,NA,NA,NA,NA,NA,NA,NA,1.592,2-F1,N,Y,4,Y,Y,0.01,0.6,0.3,1.3,0.4,3.5,0.2,1.2,0.3,,1/10/21,89.5,1/14/21,17.2,0.8078,0.1922,NA,2/8/21,4,0.3452,923.3249,18.1366,3.485469497,2,0.3865,955.4635,20.0588,3.854875531,NA,NA,NA,NA,NA,NA,472102.04,678,2020,Slana,460,67,123,282,41,1724,0.078948696,320.1,18,0.003485469,1592,5.548867439,11.2195122
FC-6-2020,FC-20-6,FC-6-20,FC-20-6,2020-07-31,NA,Fish Creek Gulkana,9/24/20,63.1000428,-145.481274,2.39,M,0.056,2-C5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.232,2-B9,Y,Y,bad scales,Y,Y,0.026,0.6,0.4,0.3,0.5,0.6,0.5,0.4,0.6,,1/10/21,105.7,1/14/21,22.8,0.7843,0.2157,NA,2/10/21,4,0.4718,923.3249,21.1345,4.558813623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473968.02,988,2020,Gulkana,482,83,146,325,50,2390,1.720307618,468.3,56,0.004558814,2232,10.17527201,9.64
FC-7-2020,FC-20-7,FC-7-20,FC-20-7,2020-07-31,NA,Fish Creek Gulkana,9/29/20,63.1000428,-145.481274,2.59,M,0.044,Fin well ID: 25 (2),NA,NA,NA,NA,NA,NA,NA,NA,NA,2.386,2-G1 (one missing),N,Y,4,Y,Y,0.024,0.3,0.8,0.3,0.8,0.3,0.4,0.4,0.3,,1/10/21,115.5,1/14/21,25.8,0.7766,0.2234,NA,2/10/21,2,0.2739,955.4635,21.5977,4.824421299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473968.02,988,2020,Gulkana,488,83,134,321,56,2590,1.440234731,468.3,44,0.004824421,2386,11.51106922,8.714285714
FC-9-2020,FC-20-9,FC-9-20,FC-20-9,2020-07-31,NA,Fish Creek Gulkana,9/24/20,63.1000428,-145.481274,2.662,M,0.052,2-C7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.432,2-B11,N,Y,5,Y,Y,0.026,0.3,0.4,0.4,0.5,0.4,0.5,0.5,0.5,,1/10/21,141.1,1/14/21,28.3,0.7994,0.2006,NA,2/10/21,2,0.2875,955.4635,21.9455,4.401542523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473968.02,988,2020,Gulkana,486,89,148,340,53,2662,2.063700982,468.3,52,0.004401543,2432,10.70455142,9.169811321
FC-10-2020,FC-20-10,FC-10-20,FC-20-10,2020-07-31,NA,Fish Creek Gulkana,9/24/20,63.1000428,-145.481274,2.392,M,0.066,2-D3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.19,2-C3,Y,Y,,Y,Y,0.03,0.7,0.7,0.6,0.6,0.5,0.8,0.6,0.6,,1/10/21,115.2,1/14/21,29.4,0.7448,0.2552,NA,2/10/21,4,0.348,923.3249,21.5555,5.501143229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473968.02,988,2020,Gulkana,476,83,138,320,52,2392,1.323421685,468.3,66,0.005501143,2190,12.04750367,9.153846154
GH2-1-2020,GH2-1-2020,GH2-1-20,GH2-1 (2020),2020-09-08,NA,Gulkana Hatchery,7/23/21,63.06732669,-145.5138318,2.262,M,0.026,2-A4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.138,1-E4,Y,Y,5,Y,Y,0.014,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.5,,10/15/21,114.2,10/20/21,22.4,0.8039,0.1961,NA,10/21/21,2,0.4449,955.8343,21.481,4.213436077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468383.14,909,2020,GulkanaHatchery,502,89,135,311,63,2262,1.56868764,425.8,26,0.004213436,2138,9.008326333,7.968253968
GH2-2-2020,GH2-20-2,GH2-2-20,GH2-20-2,2020-09-08,NA,Gulkana Hatchery,9/23/20,63.06732669,-145.5138318,2.45,M,0.07,2-B2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.232,2-A10,Y,Y,6,Y,Y,0.036,0.7,0.6,0.4,0.7,0.4,0.7,0.4,0.5,,1/15/21,75.2,1/21/21,16.2,0.7846,0.2154,NA,2/16/21,4,0.3792,923.3249,20.9377,4.51051516,2,0.4191,955.4635,21.6538,4.664781383,NA,NA,NA,NA,NA,NA,468383.14,909,2020,GulkanaHatchery,490,82,128,324,57,2450,1.355347767,425.8,70,0.004510515,2232,10.06746984,8.596491228
GH2-3-2020,GH2-3-2020,GH2-3-20,GH2-3 (2020),2020-09-08,NA,Gulkana Hatchery,7/23/21,63.06732669,-145.5138318,2.562,M,0.05,2-C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.482,1-F7,Y,Y,5,Y,Y,0.022,0.5,0.4,0.8,0.4,0.4,0.5,0.4,0.4,,10/15/21,98.7,10/19/21,22.8,0.769,0.231,NA,10/21/21,4,0.4742,923.3249,18.26,4.218115502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468383.14,909,2020,GulkanaHatchery,494,84,140,329,64,2562,1.826185839,425.8,50,0.004218116,2482,10.46936268,7.71875
GH2-4-2020,GH2-4-2020,GH2-4-20,GH2-4 (2020),2020-09-08,NA,Gulkana Hatchery,7/23/21,63.06732669,-145.5138318,1.856,M,0.046,2-C2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.764,1-F6 (no otoliths),NO READ,Y,5,Y,Y,0.022,0.7,0.6,0.7,0.4,0.4,0.7,0.5,1,,10/15/21,101.9,10/19/21,23.6,0.7684,0.2316,NA,10/21/21,2,0.3092,955.8343,20.4585,4.738180569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468383.14,909,2020,GulkanaHatchery,449,68,120,300,64,1856,0.06519487,425.8,46,0.004738181,1764,8.358150524,7.015625
GH2-5-2020,GH2-20-5,GH2-5-20,GH2-20-5,2020-09-08,NA,Gulkana Hatchery,9/23/20,63.06732669,-145.5138318,1.666,M,0.05,2-A8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.494,2-A8 (NO OTOS),N,Y,2 bad scales,Y,Y,0.024,0.4,0.6,0.7,0.7,0.7,1.1,0.7,0.6,,1/15/21,139.3,1/21/21,30.6,0.7803,0.2197,NA,2/16/21,4,0.3504,923.3249,21.4158,4.70440402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468383.14,909,2020,GulkanaHatchery,418,73,108,270,50,1666,-1.245266018,425.8,50,0.004704404,1494,7.028379606,8.36
MA-1-2020,MA-20-1,MA-1-20,MA-20-1,2020-08-10,NA,Mahlo,9/24/20,61.73588,-145.7294181,2.53,M,0.05,2-B8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.288,1-B4,N,Y,bad scales,Y,Y,0.024,0.5,0.3,0.5,0.4,0.5,0.5,0.7,0.6,,1/5/21,121.1,1/9/21,26.8,0.7787,0.2213,NA,2/18/21,4,0.4585,923.3249,19.9867,4.423150784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306987.7,537,2020,KlutinaLake,446,79,176,394,44,2530,2.909139519,164.9,50,0.004423151,2288,10.12016899,10.13636364
MA-2-2020,MA-20-2,MA-2-20,MA-20-2,2020-08-10,NA,Mahlo,9/29/20,61.73588,-145.7294181,2.448,M,0.04,Fin clip 28 (2),NA,NA,NA,NA,NA,NA,NA,NA,NA,2.256,2-G4,N,Y,6,Y,Y,0.018,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,,1/5/21,116.9,1/9/21,23.8,0.7964,0.2036,NA,2/18/21,2,0.4247,955.4635,19.9238,4.056342515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306987.7,537,2020,KlutinaLake,473,84,155,347,38,2448,2.127595533,164.9,40,0.004056343,2256,9.151108714,12.44736842
MA-6-2020,MA-20-6,MA-6-20,MA-20-6,2020-08-10,NA,Mahlo,9/26/20,61.73588,-145.7294181,2.112,M,0.038,fin well id:40,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.896,2-D4,N,Y,6,Y,Y,0.018,0.3,0.3,0.3,0.4,0.3,0.4,0.3,0.5,,1/5/21,94.3,1/9/21,18.3,0.8059,0.1941,NA,2/18/21,4,0.4246,923.3249,19.3812,3.761144857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306987.7,537,2020,KlutinaLake,448,77,146,340,46,2112,1.33950175,164.9,38,0.003761145,1896,7.131130649,9.739130435
MA-8-2020,MA-20-8,MA-8-20,MA-20-8,2020-08-10,NA,Mahlo,9/24/20,61.73588,-145.7294181,2.362,M,0.036,2-C2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.162,2-B6,N,Y,5,Y,Y,0.02,0.5,0.4,0.4,0.4,0.6,0.5,0.4,0.5,,1/5/21,142,1/9/21,31.6,0.7775,0.2225,NA,2/18/21,4,0.3808,923.3249,17.703,3.939540845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306987.7,537,2020,KlutinaLake,456,86,156,358,49,2362,2.015430598,164.9,36,0.003939541,2162,8.517287307,9.306122449
MA-10-2020,MA-20-10,MA-10-20,MA-20-10,2020-08-10,NA,Mahlo,9/24/20,61.73588,-145.7294181,2.472,M,0.008,2-D2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.264,2-C2 one missing oto,N,Y,,Y,Y,0.002,0.3,0.4,0.3,0.4,0.4,0.4,0.6,0.4,,1/5/21,138.8,1/9/21,25.4,0.817,0.183,NA,2/18/21,4,0.4258,923.3249,18.8246,3.44484755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306987.7,537,2020,KlutinaLake,494,92,158,343,50,2472,2.521318069,164.9,8,0.003444848,2264,7.799134853,9.88
SA-2-2020,SA-20-2,SA-2-20,SA-20-2,2020-08-11,NA,St Anne,9/24/20,61.73953006,-145.9685194,1.926,M,0.016,2-D4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.798,2-C4,N,,,Y,Y,0.006,0.3,0.6,0.5,0.4,0.5,0.4,0.7,0.6,,1/23/20,85.5,1/28/21,15.2,0.8222,0.1778,NA,2/23/21,4,0.3158,923.3249,19.5469,3.475004444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319323.05,531,2020,KlutinaLake,449,78,153,302.5853329,45,1926,1.003675518,169.6,16,0.003475004,1798,6.24805799,9.977777778
SA-3-2020,SA-20-3,SA-3-20,SA-20-3,2020-08-11,NA,St Anne,9/24/20,61.73953006,-145.9685194,1.688,M,0.016,2-D1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.54,2-C1,N,Y,,Y,Y,0.008,0.3,0.3,0.4,0.4,0.3,0.6,0.5,0.4,,1/23/21,105.5,1/28/21,21.7,0.7943,0.2057,NA,2/23/21,2,0.4868,955.4635,17.9294,3.687848152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319323.05,531,2020,KlutinaLake,477,61,124,266,40,1688,0.17294022,169.6,16,0.003687848,1540,5.679286154,11.925
SA-7-2020,SA-20-7,SA-7-20,SA-20-7,2020-08-11,NA,St Anne,9/24/20,61.73953006,-145.9685194,2.24,M,0.03,2-D6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.118,2-C6,N,Y,bad scales,Y,Y,0.016,0.3,0.3,0.3,0.7,0.8,0.3,0.5,0.4,,1/23/21,104.2,1/28/21,20.3,0.8052,0.1948,NA,2/23/21,2,0.3927,955.4635,18.2457,3.554584549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319323.05,531,2020,KlutinaLake,469,85,158,350,49,2240,2.182669222,169.6,30,0.003554585,2118,7.528610075,9.571428571
SA-10-2020,SA-20-10,SA-10-20,SA-20-10,2020-08-11,NA,St Anne,9/24/20,61.73953006,-145.9685194,1.982,M,0.046,2-C6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77,2-B10,N,Y,5,Y,Y,0.026,0.4,0.4,0.3,0.4,0.4,0.4,0.3,0.4,,1/23/21,92.2,1/28/21,18.7,0.7972,0.2028,NA,2/23/21,4,0.5074,923.3249,20.6418,4.18656898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319323.05,531,2020,KlutinaLake,440,73,149,330,48,1982,1.134887487,169.6,46,0.004186569,1770,7.410227095,9.166666667
LL-1-2020,LL-20-1,LL-1-20,LL-20-1,2020-08-31,NA,Long Lake,9/23/20,61.37920879,-143.30713,2.61,M,0.046,2-A1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.34,2-A1,N,Y,5,Y,Y,0.026,NA,NA,NA,NA,NA,NA,NA,NA,,1/15/21,125.3,1/21/21,30.9,0.7534,0.2466,NA,2/25/21,2,0.3648,923.3249,23.1414,5.706857622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258752.38,430,2020,Chitina,504,84,123,310,62,2610,1.261792678,111.3,46,0.005706858,2340,13.35404684,8.129032258
LL-3-2020,LL-20-3,LL-3-20,LL-20-3,2020-08-31,NA,Long Lake,9/23/20,61.37920879,-143.30713,2.246,M,0.054,2-A4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.076,2-A4,N,Y,6,Y,Y,0.026,0.7,0.7,0.7,0.8,1,0.8,0.6,0.6,,1/15/21,146.1,1/21/21,36.2,0.7522,0.2478,NA,2/25/21,2,0.3852,955.4635,23.2672,5.765042026,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258752.38,430,2020,Chitina,480,69,112,290,58,2246,0.247519299,111.3,54,0.005765042,2076,11.96822725,8.275862069
LL-4-2020,LL-20-4,LL-4-20,LL-20-4,2020-08-31,NA,Long Lake,9/26/20,61.37920879,-143.30713,2.518,M,0.068,Fin clip 42,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.318,2-D6,N,Y,4,Y,Y,0.034,1.2,0.6,1.6,0.7,0.7,0.7,0.7,0.5,,1/15/21,139,1/21/21,33.7,0.7576,0.2424,NA,2/25/21,2,0.3714,955.4635,23.2971,5.648289712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258752.38,430,2020,Chitina,489,78,120,296,55,2518,0.711822669,111.3,68,0.00564829,2318,13.09273555,8.890909091
LL-5-2020,LL-20-5,LL-5-20,LL-20-5,2020-08-31,NA,Long Lake,9/23/20,61.37920879,-143.30713,2.228,M,0.04,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.032,2-A3,N,Y,5,Y,Y,0.022,1.3,2.1,0.9,1.3,1.2,1.4,1,0.8,,1/15/21,122,1/21/21,34.6,0.7164,0.2836,NA,2/25/21,4,0.3548,923.3249,24.2427,6.875388689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258752.38,430,2020,Chitina,461,63,115,320,65,2228,0.431237557,111.3,40,0.006875389,2032,13.97078982,7.092307692
LL-6-2020,LL-20-6,LL-6-20,LL-20-6,2020-08-31,NA,Long Lake,9/26/20,61.37920879,-143.30713,2.28,M,0.054,Fin clip 31,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.096,2-C7 one missing,N,Y,5,Y,Y,0.03,2.1,1.2,1.4,1.2,0.8,1.1,1.4,1.1,,1/15/21,113.9,1/21/21,36.1,0.6831,0.3169,NA,2/25/21,2,0.3212,955.4635,25.6287,8.122880334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258752.38,430,2020,Chitina,475,63,114,296,62,2280,0.301335646,111.3,54,0.00812288,2096,17.02555718,7.661290323
MA-3-2021,MA-3-2021,MA-3-21,MA-3,2021-07-18,NA,Mahlo,7/23/21,61.73588,-145.7294181,1.808,M,0.068,1-F1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.656,1-D5,N,Y,5,Y,Y,0.042,0.6,0.4,0.6,0.4,0.6,0.4,0.6,0.5,,10/6/21,109.5,10/11/21,24,0.7808,0.2192,NA,10/12/21,2,0.3227,955.4635,22.8666,5.011857534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306987.7,537,2021,KlutinaLake,405,70,144,316,65,1808,0.177898167,164.9,68,0.005011858,1656,8.299636076,6.230769231
MA-4-2021,MA-4-2021,MA-4-21,MA-4,2021-07-18,NA,Mahlo,7/23/21,61.73588,-145.7294181,1.768,M,0.054,1-F3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.65,1-D7,N,Y,5,Y,Y,0.028,0.5,0.5,0.4,0.4,0.5,0.6,0.6,0.6,,10/6/21,117.3,10/11/21,25.4,0.7835,0.2165,NA,10/12/21,4,0.2785,923.3249,20.4498,4.428174936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306987.7,537,2021,KlutinaLake,443,70,133,303,60,1768,0.358012227,164.9,54,0.004428175,1650,7.306488644,7.383333333
MA-5-2021,MA-5-2021,MA-5-21,MA-5,2021-07-18,NA,Mahlo,7/23/21,61.73588,-145.7294181,2.238,M,0.05,1-F2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.106,1-D6,N,Y,5,Y,Y,0.024,0.6,0.4,0.7,0.5,0.6,0.5,0.6,0.5,,10/6/21,112,10/11/21,26.3,0.7652,0.2348,NA,10/12/21,2,0.2094,955.4635,23.7454,5.57592875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306987.7,537,2021,KlutinaLake,461,84,143,339,63,2238,1.472126255,164.9,50,0.005575929,2106,11.74290595,7.317460317
MA-6-2021,MA-6-2021,MA-6-21,MA-6,2021-07-18,NA,Mahlo,7/23/21,61.73588,-145.7294181,2.678,M,0.066,1-F4,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.494,1-D8,N,Y,5,Y,Y,0.034,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,,10/6/21,131.9,10/11/21,29.3,0.7779,0.2221,NA,10/12/21,4,0.3282,923.3249,22.3332,4.961052009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306987.7,537,2021,KlutinaLake,500,84,168,368,67,2678,3.263883525,164.9,66,0.004961052,2494,12.37286371,7.462686567
MA-8-2021,MA-8-2021,MA-8-21,MA-8,2021-07-18,NA,Mahlo,7/23/21,61.73588,-145.7294181,2.33,M,0.048,1-F5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.18,1-D9,N,Y,5,Y,Y,0.024,0.6,0.5,0.5,0.5,0.6,0.7,0.6,0.7,,10/6/21,92.8,10/11/21,21.4,0.7694,0.2306,NA,10/12/21,4,0.2015,923.3249,22.2291,5.126107112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306987.7,537,2021,KlutinaLake,473,76,160,354,60,2330,2.365967295,164.9,48,0.005126107,2180,11.1749135,7.883333333
MA-11-2021,MA-11-2021,MA-11-21,MA-11,2021-08-10,NA,Mahlo,9/3/21,61.73588,-145.7294181,2.274,M,0.046,3-D5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.11,2-C5,N,Y,5,Y,Y,0.024,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.6,,10/6/21,112,10/11/21,19.9,0.8223,0.1777,NA,10/12/21,2,0.2298,923.3249,17.78,3.159125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306987.7,537,2021,KlutinaLake,466,88,165,351,58,2274,2.335450137,164.9,46,0.003159125,2110,6.66575375,8.034482759
MA-17-2021,MA-17-2021,MA-17-21,MA-17,2021-08-10,NA,Mahlo,9/3/21,61.73588,-145.7294181,0.872,M,0.026,3-C2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.816,2-B6,N,Y,5,Y,Y,0.014,0.5,0.4,0.5,0.5,0.5,0.4,0.5,0.4,,10/7/21,103.4,10/10/21,19.9,0.8075,0.1925,NA,10/12/21,2,0.3161,923.3249,20.9833,4.03837205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306987.7,537,2021,KlutinaLake,340,54,120,257,43,872,-2.48133281,164.9,26,0.004038372,816,3.295311593,7.906976744
MA-18-2021,MA-18-2021,MA-18-21,MA-18,2021-08-10,NA,Mahlo,9/3/21,61.73588,-145.7294181,2.354,M,0.048,3-E6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.226,2-D2,N,Y,5,Y,Y,0.024,0.4,0.3,0.3,0.3,0.5,0.7,0.4,0.5,,10/7/21,96.4,10/10/21,17.6,0.8174,0.1826,NA,10/12/21,4,0.3012,955.8343,19.8509,3.624230705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306987.7,537,2021,KlutinaLake,470,91,157,355,65,2354,2.245762328,164.9,48,0.003624231,2226,8.067537549,7.230769231
MA-19-2021,MA-19-2021,MA-19-21,MA-19,2021-08-10,NA,Mahlo,9/3/21,61.73588,-145.7294181,1.226,M,0.04,3-C1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.136,2-B5,N,Y,5,Y,Y,0.022,0.8,0.5,0.7,0.6,0.6,0.5,0.6,0.4,,10/7/21,113.6,10/10/21,23.9,0.7896,0.2104,NA,10/12/21,4,0.4298,923.3249,19.7383,4.152688116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306987.7,537,2021,KlutinaLake,390,58,122,275,51,1226,-1.283706185,164.9,40,0.004152688,1136,4.7174537,7.647058824
MA-20-2021,MA-20-2021,MA-20-21,MA-20,2021-08-10,NA,Mahlo,9/3/21,61.73588,-145.7294181,0.456,M,0.024,3-C3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.416,2-B7,N,Y,5,Y,Y,0.012,1,0.7,1.1,0.6,1.6,0.5,1.7,0.8,,10/7/21,80.2,10/10/21,16.6,0.793,0.207,NA,10/12/21,2,0.3338,955.8343,21.2459,4.397530424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306987.7,537,2021,KlutinaLake,280,30,85,196,38,456,-5.381850959,164.9,24,0.00439753,416,1.829372656,7.368421053
SA-2-2021,SA-2-2021,SA-2-21,SA-2,2021-07-18,NA,St Anne,7/23/21,61.73953006,-145.9685194,2.796,M,0.046,1-F8,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.626,1-D12,N,Y,5,Y,Y,0.02,0.4,0.4,0.5,0.4,0.4,0.4,0.5,0.5,,10/6/21,118.9,10/11/21,23.7,0.8007,0.1993,NA,10/12/21,2,0.2613,955.8343,22.3577,4.456496972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319323.05,531,2021,KlutinaLake,482,83,184,407,60,2796,3.951091592,169.6,46,0.004456497,2626,11.70276105,8.033333333
SA-5-2021,SA-5-2021,SA-5-21,SA-5,2021-07-18,NA,St Anne,7/23/21,61.73953006,-145.9685194,2.758,M,0.048,1-F7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1-D11,N,Y,5,Y,Y,0.026,0.5,0.4,0.6,0.4,0.5,0.5,0.5,0.5,,10/6/21,112,10/11/21,24.4,0.7821,0.2179,NA,10/13/21,4,0.322,955.8343,21.1558,4.608942143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319323.05,531,2021,KlutinaLake,487,82,175,382,64,2758,3.429656898,169.6,48,0.004608942,,,7.609375
SA-6-2021,SA-6-2021,SA-6-21,SA-6,2021-07-18,NA,St Anne,7/23/21,61.73953006,-145.9685194,3.068,M,0.05,1-F6,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.894,1-D10,N,Y,5,Y,Y,0.022,0.6,0.5,0.4,0.5,0.5,0.5,0.5,0.5,,10/6/21,116.9,10/11/21,26.2,0.7759,0.2241,NA,10/13/21,2,0.2818,923.3249,21.6628,4.855135672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319323.05,531,2021,KlutinaLake,491,73,176,395,67,3068,3.716643439,169.6,50,0.004855136,2894,14.05076263,7.328358209
SA-9-2021,SA-9-2021,SA-9-21,SA-9,2021-07-18,NA,St Anne,7/23/21,61.73953006,-145.9685194,2.686,M,0.05,2-A2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.498,1-E2,N,Y,5,Y,Y,0.022,0.7,0.5,0.6,0.5,0.5,0.5,0.5,0.5,,10/6/21,120.9,10/11/21,24.3,0.799,0.201,NA,10/13/21,4,0.3059,955.8343,23.8329,4.790235484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319323.05,531,2021,KlutinaLake,462,83,168,366,64,2686,2.565173235,169.6,50,0.004790235,2498,11.96600824,7.21875
SA-10-2021,SA-10-2021,SA-10-21,SA-10,2021-07-18,NA,St Anne,7/23/21,61.73953006,-145.9685194,2.842,M,0.052,2-A1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,1-E1,N,Y,5,Y,Y,0.022,0.5,0.6,0.5,0.5,0.5,0.5,0.5,0.4,,10/6/21,114.1,10/11/21,23.8,0.7914,0.2086,NA,10/13/21,2,0.2655,923.3249,22.9338,4.783737423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319323.05,531,2021,KlutinaLake,495,70,170,387,63,2842,3.506903398,169.6,52,0.004783737,2700,12.91609104,7.857142857
