Fish_ID_Revised,Fish_ID,GillClip_ID_Revised,GillClip_ID,Collection_Date,RunTimingGroup,Collection_Location,Processing_Date,Col_Location_Lat,Col_Location_Long,Fish_Wt,Sex,Gonad_Wt,DWP.,Fem_Fecun_1_num,Fem_Fecun_1_wt,Fem_Fecun_2_num,Fem_Fecun_2_wt,Fem_Fecun_3_num,Fem_Fecun_3_wt,Fem_Egg_Sz_1,Fem_Egg_Sz_2,Fem_Egg_Sz_3,Carcass.guts_Wt,Oto_Well_ID,Strontium_marked_Y.N,Scales_Y.N,Scales_num,Fish_Ground_Y.N,Gonad_Saved_Y.N,Gonad_Saved_wt,Fat_Meter_1._L,Fat_Meter_1._R,Fat_Meter_2._L,Fat_Meter_2._R,Fat_Meter_3._L,Fat_Meter_3._R,Fat_Meter_4._L,Fat_Meter_4._R,Dissect_Comments,Date_LabDryStart,Fish.BagWt_g,Date_LabDryFinal,DryFish.BagWt_g,Pwater,Pdry,Dry_Comments,Date_BCProcess,Bomb_ID_1,Bomb_PelletWt_g_1,EE_Value_1,EnergyDensity_mJ.kg_1,EnergyPDry_1,Bomb_ID_2,Bomb_PelletWt_g_2,EE_value_2,EnergyDensity_mJ.kg_2,EnergyPDry_2,Bomb_ID_3,Bomb_PelletWt_g_3,EE_value_3,EnergyDensity_mJ.kg_3,EnergyPDry_3,Bomb_ID_4,Collection_RiverMile_m,Elevation_m,Year,Group_Assignment,Fish_Leng_1_mm,Fish_Leng_2_mm,Fish_Ht_mm,Fish_Grth_mm,Fish_Wdth_mm,Fish_Wt_g,bodysize_pc_g_mm,Work,Gonad_Wt_g,EnergyPDry_1_mJ_g,Carcass.guts_Wt_g,TotalEnergy_carcass_mJ,fineness
SA-8-2019,SA8-2019,SA-8-19,SA8,2019-08-20,NA,St Anne,9/1/19,61.73953006,-145.9685194,1.882,M,0.072,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.734,2-B10,N,Y,5,Y,Y,0.03,0.5,0.5,0.4,0.4,0.4,0.5,0.5,0.6,,12/18/19,112.4,12/31/19,19.9,0.823,0.177,,2/6/20,2,0.3699,923.1981,20.8056,3.683553737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319323.05,531,2019,KlutinaLake,437,68,138,341,60,1882,0.941834988,169.6,72,0.003683554,1734,6.38728218,7.283333333
SA-9-2019,SA9-2019,SA-9-19,SA9,2019-08-20,NA,St Anne,9/1/19,61.73953006,-145.9685194,1.434,M,0.042,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.326,2-C1,N,Y,NA,Y,Y,0.014,0.4,0.4,0.4,0.5,0.4,0.5,0.5,0.5,,12/18/19,159.1,12/31/19,30.7,0.807,0.193,,2/6/20,4,0.3289,23.3249,20.369,3.930410434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319323.05,531,2019,KlutinaLake,420.9392628,NA,112.6841947,267.2381058,52.8753006,1434,-1.105797985,169.6,42,0.00393041,1326,5.211724235,7.960980987
LL-1-2019,LL1-2019,LL-1-19,LL1,2019-08-24,NA,Long Lake,9/4/19,61.37920879,-143.30713,2.348,M,0.07,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.186,2-E7,N,Y,5,Y,Y,0.032,1.3,1.4,0.8,0.9,0.9,0.8,0.8,0.8,"FM IN FIELD 0.8, 0.8, 0.8, 0.7",12/18/19,128.9,12/31/19,36.4,0.7176,0.2824,,2/6/20,4,0.4509,923.3249,24.4802,6.912950194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258752.38,430,2019,Chitina,471,54,120,303,71,2348,0.49652157,111.3,70,0.00691295,2186,15.11170912,6.633802817
LL-2-2019,LL2-2019,LL-2-19,LL2,2019-08-24,NA,Long Lake,9/4/19,61.37920879,-143.30713,1.814,M,0.036,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.716,2-E6,N,Y,5,Y,Y,0.018,1,0.9,0.8,0.7,0.8,0.7,0.7,0.7,"FM IN FIELD 0.7, 0.7, 0.6, 0.6",12/18/19,129.4,12/31/19,35.8,0.7233,0.2767,,2/6/20,2,0.41,923.1981,23.7683,6.575773879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258752.38,430,2019,Chitina,443,46,106,267,64,1814,-0.902997878,111.3,36,0.006575774,1716,11.28402798,6.921875
LL-3-2019,LL3-2019,LL-3-19,LL3,2019-08-24,NA,Long Lake,,61.37920879,-143.30713,2.312,M,0.056,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.164,2-D12,N,Y,NA,Y,Y,0.026,1.1,1,0.9,0.8,0.7,0.8,0.7,0.8,"FM IN FIELD 0.7, 0.7, 0.6, 0.5",12/18/19,164.8,12/31/19,42.4,0.7427,0.2573,,2/6/20,4,0.395,923.3249,24.0521,6.18816165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258752.38,430,2019,Chitina,475,60,121,302,69,2312,0.579750467,111.3,56,0.006188162,2164,13.39118181,6.884057971
LL-4-2019,LL4-2019,LL-4-19,LL4,2019-08-24,NA,Long Lake,9/3/19,61.37920879,-143.30713,2.276,M,0.058,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.168,2-D10,N,Y,5,Y,Y,0.024,1,1.3,0.8,0.9,0.7,0.7,0.7,0.7,"FM IN FIELD 0.9, 0.8, 0.7, 0.6",12/18/19,104.3,12/31/19,29.7,0.7152,0.2848,,2/6/20,2,0.3563,923.1981,24.0087,6.836609684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258752.38,430,2019,Chitina,462,58,128,310,66,2276,0.658199136,111.3,58,0.00683661,2168,14.82176979,7
LL-5-2019,LL5-2019,LL-5-19,LL5,2019-08-24,NA,Long Lake,9/3/19,61.37920879,-143.30713,2.31,M,0.056,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.172,2-D11,N,Y,5,Y,Y,0.026,1.3,0.9,1.1,1,1.2,0.9,1,1.1,"FM IN FIELD 1.0, 0.8, 0.8, 0.7",12/18/19,91.2,12/31/19,26.1,0.7138,0.2862,,2/11/20,4,0.2979,923.3249,23.4465,6.710018092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258752.38,430,2019,Chitina,482,56,118,294,66,2310,0.504769511,111.3,56,0.006710018,2172,14.5741593,7.303030303
MA-2-2019,MA2-2019,MA-2-19,MA2,2019-08-20,NA,Mahlo,9/3/19,61.73588,-145.7294181,1.482,M,0.03,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.344,2-D1,N,Y,5,Y,Y,0.014,0.5,0.5,0.5,0.4,0.5,0.4,0.4,0.5,POSSIBLY A PARTIAL SPAWNER,12/31/19,94.1,1/20/20,16.8,0.8215,0.1785,,2/11/20,2,0.257,923.1981,19.23,3.433198725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306987.7,537,2019,KlutinaLake,426,44,130,276,45,1482,-0.41640352,164.9,30,0.003433199,1344,4.614219086,9.466666667
MA-4-2019,MA4-2019,MA-4-19,MA4,2019-08-20,NA,Mahlo,9/3/19,61.73588,-145.7294181,2.414,M,0.05,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.272,2-D9,N,Y,5,Y,Y,0.024,0.5,0.5,0.6,0.4,0.6,0.4,0.5,0.4,,12/31/19,105.6,1/20/20,22.1,0.7907,0.2093,,2/11/20,2,0.3479,923.1981,21.3625,4.470750473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306987.7,537,2019,KlutinaLake,469,83,143,331,65,2414,1.49666217,164.9,50,0.00447075,2272,10.15754507,7.215384615
MA-6-2019,MA6-2019,MA-6-19,MA6,2019-08-20,NA,Mahlo,9/3/19,61.73588,-145.7294181,1.602,M,0.036,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.488,2-E2,N,Y,5,Y,Y,0.014,0.5,0.4,0.4,0.4,0.5,0.5,0.4,0.6,,2/5/20,114.3,2/11/20,22.1,0.8066,0.1934,,2/14/20,2,0.2543,923.1981,19.4865,3.767730971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306987.7,537,2019,KlutinaLake,438,51,123,263,52,1602,-0.585243882,164.9,36,0.003767731,1488,5.606383685,8.423076923
