,Fish_ID_Revised,Fish_ID,GillClip_ID_Revised,GillClip_ID,Collection_Date,RunTimingGroup,Collection_Location,Processing_Date,Col_Location_Lat,Col_Location_Long,Fish_Wt,Fish_Leng_1,Fish_Leng_1_tape,Fish_Leng_2,Fish_Leng_2_tape,Fish_Ht,Fish_Ht_tape,Fish_Wdth,Fish_Grth,Sex,Gonad_Wt,DWP.,Fem_Fecun_1_num,Fem_Fecun_1_wt,Fem_Fecun_2_num,Fem_Fecun_2_wt,Fem_Fecun_3_num,Fem_Fecun_3_wt,Fem_Egg_Sz_1,Fem_Egg_Sz_2,Fem_Egg_Sz_3,Carcass.guts_Wt,Oto_Well_ID,Strontium_marked_Y.N,Scales_Y.N,Scales_num,Fish_Ground_Y.N,Gonad_Saved_Y.N,Gonad_Saved_wt,Fat_Meter_1._L,Fat_Meter_1._R,Fat_Meter_2._L,Fat_Meter_2._R,Fat_Meter_3._L,Fat_Meter_3._R,Fat_Meter_4._L,Fat_Meter_4._R,Dissect_Comments,SpawnStatus,Date_LabDryStart,Fish.BagWt_g,Date_LabDryFinal,DryFish.BagWt_g,Pwater,Pdry,Dry_Comments,Date_BCProcess,Bomb_ID_1,Bomb_PelletWt_g_1,EE_Value_1,EnergyDensity_mJ.kg_1,EnergyPDry_1,Bomb_ID_2,Bomb_PelletWt_g_2,EE_value_2,EnergyDensity_mJ.kg_2,EnergyPDry_2,Bomb_ID_3,Bomb_PelletWt_g_3,EE_value_3,EnergyDensity_mJ.kg_3,EnergyPDry_3,Bomb_ID_4,Bomb_PelletWt_g_4,EE_value_4,EnergyDensity_mJ.kg_4,EnergyPDry_4,BC_comments,Collection_RiverMile_m,Elevation_m,Year,Group_Assignment,assign_likelihood,Work_km2,Fish_Leng_1_mm,Fish_Ht_mm,Fish_Grth_mm,bodysize_pc,bodysize_pc_g_mm,Fecun_num_by_wt1
29,BC-29-2020,BC-20-29,BC-29-20,BC-20-29,2020-06-30,Middle,Baird Canyon,7/10/20,60.73831,-144.5687,2.25,47.3,NA,3.8,NA,12,NA,6.2,31.2,F,0.15,1-E8,10,0.2936,10,0.3864,10,0.36,3.9,4.2,4,1.932,1-D4,N,Y,7,Y,Y,0.084,6.5,6.9,5.4,5.4,5.7,9.7,3.2,1.5,Worms on guts,NA,10/30/20,52,11/3/20,18.6,0.6423,0.3577,NA,11/14/20,2,0.3333,955.4635,27.7734,9.934331538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2020,KlutinaLake,1,174.5126368,473,120,312,0.628645431,0.628645431,5108.991826
30,BC-30-2020,BC-20-30,BC-30-20,BC-20-30,2020-06-30,Middle,Baird Canyon,7/10/30,60.73831,-144.5687,1.824,43.9,NA,3.8,NA,11.6,NA,5.4,29,F,0.152,1-E3,10,0.4419,10,0.4323,10,0.3794,4.2,4.2,4.3,1.562,1-C11,N,Y,6,Y,Y,0.082,5.9,5.8,7.9,8.5,5.9,5.4,3.3,2.2,,NA,10/30/20,45.4,11/3/20,17.9,0.6057,0.3943,NA,11/14/20,4,0.3808,923.3249,27.2128,10.72927577,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2020,GulkanaHatchery,1,425.7602743,439,116,290,-0.434023983,-0.434023983,3439.692238
32,BC-32-2020,BC-20-32,BC-32-20,BC-20-32,2020-07-01,Middle,Baird Canyon,7/9/20,60.73831,-144.5687,2.31,44.8,NA,4.1,NA,12.8,NA,6.2,32.7,F,0.236,1-C7,10,0.7544,10,0.5627,10,0.4766,4.5,4.4,4.4,1.88,1-B11,N,Y,7,Y,Y,0.108,5.5,5.5.,5.7,3.3,3.2,5.1,1.6,2.1,,NA,11/5/20,56.1,11/10/20,19.9,0.6453,0.3547,NA,11/15/20,4,0.2715,923.3249,25.9703,9.212281105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2020,Chitina,0.85,100.7487206,448,128,327,0.901116883,0.901116883,3128.313892
33,BC-33-2020,BC-20-33,BC-33-20,BC-20-33,2020-07-01,Middle,Baird Canyon,7/9/20,60.73831,-144.5687,1.834,43,NA,3.5,NA,11.5,NA,6.1,29,F,0.158,1-D5,NA,NA,NA,NA,NA,NA,5.2,NA,NA,1.518,1-C5,N,Y,10,Y,Y,0.078,6.7,3.4,6.9,6.1,4.4,5.4,2.1,3.2,gooshy eggs,NA,11/5/20,61.2,11/10/20,21.9,0.6422,0.3578,NA,11/15/20,2,0.264,955.4635,26.8669,9.614135784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2020,KlutinaTonsinaOutlet,0.95,160.7660338,430,115,290,-0.602956469,-0.602956469,NA
34,BC-34-2020,BC-20-34,BC-34-20,BC-20-34,2020-07-01,Middle,Baird Canyon,7/10/20,60.73831,-144.5687,1.832,43.3,NA,4,NA,11.3,NA,5.4,30.4,F,0.142,1-D8,NA,NA,NA,NA,NA,NA,5.1,NA,NA,1.536,1-C8,N,Y,7,Y,Y,0.074,7.6,5.9,3.2,4.2,2.3,2.9,1.8,1.3,"Wormy guts - pete took photo, gooshy eggs",NA,11/5/20,56.8,11/10/20,20.5,0.6391,0.3609,NA,11/15/20,4,0.3874,923.3249,26.7063,9.63871743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2020,KlutinaLake,0.98,174.5126368,433,113,304,-0.38186038,-0.38186038,NA
36,BC-36-2020,BC-20-36,BC-36-20,BC-20-36,2020-07-01,Middle,Baird Canyon,7/9/20,60.73831,-144.5687,1.548,40.1,NA,3.7,NA,11.2,NA,5.1,28.4,F,0.124,1-D3,10,0.4618,10,0.3906,10,0.4142,3.9,4.2,4,NA,1-C3,N,Y,5,Y,Y,0.064,7.9,10.6,6.8,6.9,4,4.9,1.1,3.1,,NA,11/5/20,56.1,11/10/20,20.3,0.6381,0.3619,NA,11/15/20,2,0.4738,955.4635,28.467,10.30089305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2020,Chitina,0.81,100.7487206,401,112,284,-1.251023084,-1.251023084,2685.145084
39,BC-39-2020,BC-20-39,BC-39-20,BC-20-39,2020-07-01,Middle,Baird Canyon,7/10/20,60.73831,-144.5687,1.786,42.2,NA,3.9,NA,11.5,NA,5.3,29.8,F,0.078,1-E7,10,0.1876,10,0.1959,10,0.1616,3.6,3.4,3.4,1.58,1-D3,N,Y,5,Y,Y,0.034,7.7,8.9,8.6,6.4,6.5,5.2,3,3.5,,NA,11/5/20,69.2,11/10/20,26.4,0.6185,0.3815,NA,11/15/20,4,0.4372,923.3249,27.5083,10.49449595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58584.32,NA,2020,GulkanaHatchery,1,425.7602743,422,115,298,-0.564366096,-0.564366096,4157.782516
43,CA-3-2020,CA-20-43,CA-3-20,CA-20-43,2020-08-06,Late,Chitina Airport,9/28/20,61.586499,-144.427586,2.29,46.7,NA,3.9,NA,12,NA,5.8,30.8,F,0.266,Fin Well ID 3(2),NA,NA,NA,NA,NA,NA,5.1,NA,NA,1.93,2-E3,N,Y,5,Y,Y,0.116,0.7,0.7,0.7,0.8,0.8,0.8,0.8,0.7,,NA,11/14/20,175,11/19/20,47.7,0.7274,0.2726,NA,11/24/20,2,0.394,955.4635,23.7983,6.486736629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150114.06,NA,2020,KlutinaLake,0.7,174.5126368,467,120,308,0.468942272,0.468942272,NA
44,CA-4-2020,CA-20-44,CA-4-20,CA-20-44,2020-08-06,Late,Chitina Airport,9/28/20,61.586499,-144.427586,1.492,41.4,NA,3.5,NA,10,NA,5,26,F,0.158,Fin well ID 7(2),10,0.804,NA,NA,NA,NA,4.2,NA,NA,1.248,2-E7,N,Y,5,Y,Y,0.076,1,0.7,0.7,1.2,0.6,0.7,0.5,0.9,,NA,11/14/20,108.1,11/19/20,28.1,0.7401,0.2599,NA,11/24/20,2,0.4491,955.4635,23.668,6.152366327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150114.06,NA,2020,KlutinaLake,1,174.5126368,414,100,260,-2.032026687,-2.032026687,1965.174129
47,CA-7-2020,CA-20-47,CA-7-20,CA-20-47,2020-08-06,Late,Chitina Airport,9/28/20,61.586499,-144.427586,1.63,41.9,NA,3.6,NA,10.5,NA,5.3,27.6,F,0.19,Fin well ID 48,10,0.7253,NA,NA,NA,NA,5,NA,NA,1.35,2-D12,N,Y,5,Y,Y,0.076,1.3,1.1,1.5,1.3,1,0.8,1.3,0.6,,NA,11/14/20,182.3,11/19/20,54.4,0.7016,0.2984,NA,11/24/20,2,0.3975,955.4635,25.6418,7.651749424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150114.06,NA,2020,KlutinaTonsinaOutlet,0.96,160.7660338,419,105,276,-1.447162649,-1.447162649,2619.60568
