,Fish_ID_Revised,Fish_ID,GillClip_ID_Revised,GillClip_ID,Collection_Date,RunTimingGroup,Collection_Location,Processing_Date,Col_Location_Lat,Col_Location_Long,Fish_Wt,Fish_Leng_1,Fish_Leng_1_tape,Fish_Leng_2,Fish_Leng_2_tape,Fish_Ht,Fish_Ht_tape,Fish_Wdth,Fish_Grth,Sex,Gonad_Wt,DWP.,Fem_Fecun_1_num,Fem_Fecun_1_wt,Fem_Fecun_2_num,Fem_Fecun_2_wt,Fem_Fecun_3_num,Fem_Fecun_3_wt,Fem_Egg_Sz_1,Fem_Egg_Sz_2,Fem_Egg_Sz_3,Carcass.guts_Wt,Oto_Well_ID,Strontium_marked_Y.N,Scales_Y.N,Scales_num,Fish_Ground_Y.N,Gonad_Saved_Y.N,Gonad_Saved_wt,Fat_Meter_1._L,Fat_Meter_1._R,Fat_Meter_2._L,Fat_Meter_2._R,Fat_Meter_3._L,Fat_Meter_3._R,Fat_Meter_4._L,Fat_Meter_4._R,Dissect_Comments,SpawnStatus,Date_LabDryStart,Fish.BagWt_g,Date_LabDryFinal,DryFish.BagWt_g,Pwater,Pdry,Dry_Comments,Date_BCProcess,Bomb_ID_1,Bomb_PelletWt_g_1,EE_Value_1,EnergyDensity_mJ.kg_1,EnergyPDry_1,Bomb_ID_2,Bomb_PelletWt_g_2,EE_value_2,EnergyDensity_mJ.kg_2,EnergyPDry_2,Bomb_ID_3,Bomb_PelletWt_g_3,EE_value_3,EnergyDensity_mJ.kg_3,EnergyPDry_3,Bomb_ID_4,Bomb_PelletWt_g_4,EE_value_4,EnergyDensity_mJ.kg_4,EnergyPDry_4,BC_comments,Collection_RiverMile_m,Elevation_m,Year,Group_Assignment,Fish_Leng_1_mm,Fish_Leng_2_mm,Fish_Ht_mm,Fish_Grth_mm,Fish_Wt_g,bodysize_pc_g_mm,Gonad_Wt_g,Work
89,LL-9-2021,LL-9-2021,LL-9-21,LL-L-9,2021-08-26,NA,Long Lake,9/5/21,61.37920879,-143.30713,1.378,41.5,NA,4.2,NA,10.5,NA,6,26,F,0.1,4-C1,5,0.2126,NA,NA,NA,NA,3.7,NA,NA,1.23,2-F5,N,Y,5,Y,Y,0.048,1.2,1.8,1,1.2,0.9,1,0.8,1.1,,0,10/15/21,101.8,10/19/21,28.1,0.724,0.276,NA,10/19/21,2,0.3169,955.8343,24.8353,6.855323477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258752.38,430,2021,Chitina,415,42,105,260,1378,-1.525566276,100,111.3
90,LL-14-2021,LL-14-2021,LL-14-21,LL-L-14,2021-09-23,NA,Long Lake,9/24/21,61.37920879,-143.30713,1.348,NA,40.7,NA,4.8,NA,10.6,NA,26.2,F,0.052,4-E7,10,0.7305,NA,NA,NA,NA,5.3,NA,NA,1.246,2-H3,N,Y,NA,Y,Y,NA,0.4,0.5,0.4,0.5,0.4,0.4,5,0.4,Eggs with worms,3,10/15/21,159.1,10/20/21,30.9,0.8058,0.1942,NA,10/20/21,4,0.2792,923.3249,20.4174,3.965415839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258752.38,430,2021,Chitina,426.3330519,NA,107.2934903,262,1348,-1.234148078,52,111.3
91,LL-15-2021,LL-15-2021,LL-15-21,LL-L-15,2021-09-23,NA,Long Lake,9/24/21,61.37920879,-143.30713,1.48,NA,41.5,NA,4.3,NA,11.9,NA,28,F,0.208,4-F2,10,0.8253,NA,NA,NA,NA,5,NA,NA,1.23,2-H6,N,Y,NA,Y,Y,NA,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,"probably prespawn, eggs loose",0,10/15/21,146.3,10/20/21,30.8,0.7895,0.2105,NA,10/20/21,2,0.3392,955.8343,21.655,4.558947368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258752.38,430,2021,Chitina,433.6346546,NA,114.0455599,280,1480,-0.659189677,208,111.3
92,LL-16-2021,LL-16-2021,LL-16-21,LL-L-16,2021-09-23,NA,Long Lake,9/24/21,61.37920879,-143.30713,1.516,NA,42.7,NA,4.5,NA,12.5,NA,27.4,F,0.108,4-F3,10,0.7907,NA,NA,NA,NA,4.8,NA,NA,1.366,2-H7,N,Y,NA,Y,Y,NA,0.6,0.4,0.4,0.4,0.5,0.4,0.5,0.4,loose eggs maybe partial spawn,1,10/15/21,194.1,10/20/21,40.1,0.7934,0.2066,NA,10/20/21,4,0.409,923.3249,19.814,4.093464194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258752.38,430,2021,Chitina,435.6260008,NA,111.79487,274,1516,-0.772865313,108,111.3
93,LL-17-2021,LL-17-2021,LL-17-21,LL-L-17,2021-09-23,NA,Long Lake,9/24/21,61.37920879,-143.30713,1.686,NA,41.6,NA,4.7,NA,12.8,NA,30.2,F,0.228,4-E8,10,0.7326,NA,NA,NA,NA,5.1,NA,NA,1.414,2-H4,N,Y,NA,Y,Y,NA,0.5,0.5,0.5,0.5,0.5,0.5,0.8,0.5,"maybe prespawn, but most eggs loose",0,10/15/21,188.2,10/20/21,36.7,0.805,0.195,NA,10/20/21,2,0.4124,955.8343,22.4969,4.387015037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258752.38,430,2021,Chitina,445.0295801,NA,122.2980894,302,1686,0.087074507,228,111.3
94,LL-18-2021,LL-18-2021,LL-18-21,LL-L-18,2021-09-23,NA,Long Lake,9/24/21,61.37920879,-143.30713,1.95,NA,45,NA,5,NA,13.8,NA,31.5,F,0.302,4-F1,10,1.036,NA,NA,NA,NA,5.2,NA,NA,1.616,2-H5,N,Y,NA,Y,Y,NA,0.5,0.6,0.6,0.6,0.5,0.5,0.5,0.5,"prespawn but loose eggs, eggs wth worms",0,10/15/21,177.8,10/20/21,37.3,0.7902,0.2098,NA,10/20/21,4,0.3826,923.3249,21.0635,4.41883324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258752.38,430,2021,Chitina,459.6327856,NA,127.1745841,315,1950,0.666724096,302,111.3
95,GH-6-2021,GH-6-2021,GH-6-21,GH-6,2021-08-31,NA,Gulkana Hatchery,9/4/21,63.06732669,-145.5138318,2.152,49.2,NA,4.4,NA,11.8,NA,8,29.8,F,0.376,4-A8,10,1.158,NA,NA,NA,NA,5.1,NA,NA,1.744,2-E8,Y,Y,5,Y,Y,0.188,NA,NA,NA,NA,NA,NA,NA,NA,,0,10/15/21,73.9,10/19/21,19.1,0.7415,0.2585,NA,10/19/21,4,0.3155,923.3249,22.7438,5.878302842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468383.14,909,2021,GulkanaHatchery,492,44,118,298,2152,0.739197048,376,425.8
96,GH-7-2021,GH-7-2021,GH-7-21,GH-7,2021-08-31,NA,Gulkana Hatchery,9/5/21,63.06732669,-145.5138318,2.052,47,NA,5.7,NA,11.9,NA,6.7,29.8,F,0.392,4-C8,6,0.6606,NA,NA,NA,NA,4.65,NA,NA,1.628,2-F12,Y,Y,5,Y,Y,0.178,0.9,0.8,0.7,0.6,0.7,1,1.2,1.1,,0,10/15/21,85.8,10/19/21,22.3,0.7401,0.2599,NA,10/19/21,2,0.4254,955.8343,23.8192,6.190771096,4,0.3796,923.3249,22.8309,5.933905245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468383.14,909,2021,GulkanaHatchery,470,57,119,298,2052,0.378831288,392,425.8
97,GH-8-2021,GH-8-2021,GH-8-21,GH-8,2021-08-31,NA,Gulkana Hatchery,9/4/21,63.06732669,-145.5138318,1.984,47.9,NA,4.6,NA,11.7,NA,6,28.8,F,0.312,4-A2,10,0.8205,NA,NA,NA,NA,4.4,NA,NA,1.63,2-E2,Y,Y,5,Y,Y,0.118,0.6,0.7,0.5,0.6,0.6,0.7,0.6,0.6,,0,10/15/21,83.9,10/19/21,22.8,0.7282,0.2718,NA,10/21/21,4,0.359,923.3249,22.3351,6.069610012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468383.14,909,2021,GulkanaHatchery,479,46,117,288,1984,0.337282899,312,425.8
98,GH-9-2021,GH-9-2021,GH-9-21,GH-9,2021-08-31,NA,Gulkana Hatchery,9/5/21,63.06732669,-145.5138318,1.668,45.6,NA,5.4,NA,10.8,NA,6.2,27,F,0.306,4-C6,10,1.1347,NA,NA,NA,NA,5.1,NA,NA,1.324,2-F10,Y,Y,5,Y,Y,0.142,0.7,0.5,0.6,0.5,0.7,0.6,1,0.5,,0,10/15/21,96.3,10/19/21,22.3,0.7684,0.2316,NA,10/21/21,2,0.3188,955.8343,23.8833,5.530608411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468383.14,909,2021,GulkanaHatchery,456,54,108,270,1668,-0.575663962,306,425.8
99,GH-10-2021,GH-10-2021,GH-10-21,GH-10,2021-08-31,NA,Gulkana Hatchery,9/4/21,63.06732669,-145.5138318,1.536,44.4,NA,4.2,NA,10.1,NA,6.7,26.4,F,0.312,4-A6,10,0.8578,NA,NA,NA,NA,4.75,NA,NA,1.188,2-E6,Y,Y,5,Y,Y,0.16,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,0,10/15/21,65.8,10/19/21,16.4,0.7508,0.2492,NA,10/21/21,4,0.3103,923.3249,21.0763,5.253059574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468383.14,909,2021,GulkanaHatchery,444,42,101,264,1536,-1.065532064,312,425.8
100,FC-3-2021,FC-3-2021,FC-3-21,FC-3,2021-07-14,NA,Fish Creek Gulkana,7/24/21,63.1000428,-145.481274,2.1,47,NA,5.2,NA,12.5,NA,6.5,31.3,F,0.282,2-F1,6,0.3134,NA,NA,NA,NA,5.5,NA,NA,1.74,1-H5,N,Y,5,Y,Y,0.146,1.5,1.4,1.3,1.1,1.4,1.1,1.3,1.5,,0,10/15/21,138.3,10/20/21,39,0.718,0.282,NA,10/21/21,4,0.2973,923.3249,23.8397,6.722691974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473968.02,988,2021,Gulkana,470,52,125,313,2100,0.760934577,282,468.3
101,FC-6-2021,FC-6-2021,FC-6-21,FC-6,2021-07-14,NA,Fish Creek Gulkana,7/24/21,63.1000428,-145.481274,1.714,43.3,NA,4,NA,10.5,NA,6.5,27.5,F,0.228,3-A1,10,0.6402,NA,NA,NA,NA,5.45,NA,NA,1.43,2-A1,N,Y,5,Y,Y,0.102,1.3,1.1,1.3,0.9,1.1,1,1.2,1,,0,10/15/21,78,10/19/21,21.3,0.7269,0.2731,NA,10/21/21,2,0.3549,955.8343,24.748,6.758107692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473968.02,988,2021,Gulkana,433,40,105,275,1714,-0.990074595,228,468.3
102,FC-8-2021,FC-8-2021,FC-8-21,FC-8,2021-07-14,NA,Fish Creek Gulkana,7/24/21,63.1000428,-145.481274,1.608,44.3,NA,5,NA,10.6,NA,6.2,26.6,F,0.226,2-E3,5,0.2661,NA,NA,NA,NA,5.25,NA,NA,1.332,1-G11,N,Y,5,Y,Y,0.098,0.7,0.7,0.8,1.3,0.7,0.7,0.7,0.8,,0,10/15/21,97.1,10/19/21,27.9,0.7127,0.2873,NA,10/21/21,2,0.3574,955.8343,23.6535,6.79642276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473968.02,988,2021,Gulkana,443,50,106,266,1608,-0.917551995,226,468.3
103,FC-9-2021,FC-9-2021,FC-9-21,FC-9,2021-07-14,NA,Fish Creek Gulkana,7/24/21,63.1000428,-145.481274,1.766,45.3,NA,5,NA,10.5,NA,6.7,27.2,F,0.228,2-E4,5,0.3688,NA,NA,NA,NA,4.95,NA,NA,1.488,1-G12,N,Y,5,Y,Y,0.102,1,0.8,0.9,1.2,0.9,1.2,1.5,1.4,,0,10/15/21,109.9,10/19/21,29.9,0.7279,0.2721,NA,10/21/21,4,0.269,923.3249,23.5201,6.399008098,2,0.3466,955.8343,25.4668,6.928638035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473968.02,988,2021,Gulkana,453,50,105,272,1766,-0.681314812,228,468.3
104,FC-10-2021,FC-10-2021,FC-10-21,FC-10,2021-07-14,NA,Fish Creek Gulkana,7/24/21,63.1000428,-145.481274,1.812,45,NA,4.4,NA,11.4,NA,6.4,28.3,F,0.236,3-A6,10,0.6547,NA,NA,NA,NA,5.5,NA,NA,1.508,2-A6,N,Y,5,Y,Y,0.108,0.6,1.1,0.8,0.6,0.9,1.1,1,1.2,,0,10/15/21,95.7,10/19/21,27.3,0.7147,0.2853,NA,10/21/21,4,0.4741,923.3249,23.4075,6.677374608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473968.02,988,2021,Gulkana,450,44,114,283,1812,-0.328395548,236,468.3
105,MN-2-2021,MN-2-2021,MN-2-21,MN-2,2021-07-08,NA,Mentasta,7/23/21,62.94958,-143.35984,2.214,45.6,NA,4.3,NA,11.5,NA,8.6,30.9,F,0.476,2-B2,10,1.0445,NA,NA,NA,NA,5.3,NA,NA,1.68,1-E10,N,Y,5,Y,Y,0.286,0.8,0.5,0.5,1,0.7,1.2,1.2,1.3,,0,10/19/21,103.7,10/23/21,25.1,0.758,0.242,NA,10/27/21,4,0.3382,923.3249,22.986,5.56363163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472102.04,678,2021,Slana,456,43,115,309,2214,0.183036732,476,320.1
106,MN-4-2021,MN-4-2021,MN-4-21,MN-4,2021-07-08,NA,Mentasta,7/24/21,62.94958,-143.35984,1.7,45.1,NA,4.8,NA,11.6,NA,6.3,28,F,0.288,2-D6,5,0.274,NA,NA,NA,NA,5.8,NA,NA,1.376,1-G6,N,Y,5,Y,Y,0.092,1.1,0.6,1.1,0.6,0.7,0.8,0.9,1.3,,0,10/19/21,100,10/23/21,23.1,0.769,0.231,NA,10/27/21,4,0.3411,923.3249,22.1992,5.1280152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472102.04,678,2021,Slana,451,48,116,280,1700,-0.299839617,288,320.1
107,MN-7-2021,MN-7-2021,MN-7-21,MN-7,2021-07-08,NA,Mentasta,7/24/21,62.94958,-143.35984,1.754,44.2,NA,5.3,NA,11.8,NA,6.8,28.8,F,0.32,2-D8,5,0.135,NA,NA,NA,NA,5.5,NA,NA,1.396,1-G8,N,Y,5,Y,Y,0.142,1.1,0.9,0.9,0.7,0.8,0.7,1.5,1.1,,0,10/20/21,103.4,10/23/21,25.6,0.7524,0.2476,NA,10/27/21,2,0.3955,923.3914,24.2603,6.006418569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472102.04,678,2021,Slana,442,53,118,288,1754,-0.287399462,320,320.1
108,MN-8-2021,MN-8-2021,MN-8-21,MN-8,2021-07-08,NA,Mentasta,7/24/21,62.94958,-143.35984,2.06,46,NA,5.8,NA,12,NA,7.6,28.8,F,0.374,2-D7,5,0.1021,NA,NA,NA,NA,5.1,NA,NA,1.648,1-G7,N,Y,5,Y,Y,0.172,0.7,0.7,0.7,1,0.8,0.7,0.9,0.5,,0,10/20/21,117.3,10/23/21,28.3,0.7587,0.2413,NA,10/27/21,4,0.3992,923.3249,23.0109,5.551649361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472102.04,678,2021,Slana,460,58,120,288,2060,0.084377635,374,320.1
109,MN-9-2021,MN-9-2021,MN-9-21,MN-9,2021-07-08,NA,Mentasta,7/24/21,62.94958,-143.35984,1.886,44.8,NA,5.5,NA,12.7,NA,6.4,29.3,F,0.318,2-F2,7,0.6286,NA,NA,NA,NA,5.5,NA,NA,1.52,1-H6,N,Y,5,Y,Y,0.13,0.6,0.5,0.6,0.6,0.6,0.6,1,0.6,,0,10/29/21,129.4,11/3/21,31.5,0.7566,0.2434,NA,11/3/21,4,0.4725,923.3249,22.8553,5.563693586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472102.04,678,2021,Slana,448,55,127,293,1886,0.136785058,318,320.1
110,MN-10-2021,MN-10-2021,MN-10-21,MN-10,2021-07-08,NA,Mentasta,7/24/21,62.94958,-143.35984,1.81,45,NA,4.6,NA,11.3,NA,6.4,28.3,F,0.3,2-E1,5,0.6616,NA,NA,NA,NA,4.8,NA,NA,1.458,1-G9,N,Y,5,Y,Y,0.096,0.7,0.7,0.5,0.8,0.8,0.7,0.7,0.8,,0,10/29/21,139.6,11/3/21,30.5,0.7815,0.2185,NA,11/3/21,2,0.4628,923.3914,22.3935,4.892562679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472102.04,678,2021,Slana,450,46,113,283,1810,-0.355694136,300,320.1
115,TN-1-2021,TN-1-2021,N/A,N/A,2021-08-04,NA,Tanada,9/5/21,62.45133,-143.382153,1.6,45.6,NA,4.5,NA,11.5,NA,5.9,26.4,F,0.146,4-C5,6,0.3826,NA,NA,NA,NA,3.75,NA,NA,1.394,2-F9,N,Y,5,Y,Y,0.076,0.9,0.7,0.8,0.7,0.6,0.7,0.7,0.9,Mort- no gill clip,0,10/29/21,119.1,11/3/21,31.7,0.7338,0.2662,NA,11/4/21,2,0.3162,923.3914,23.8957,6.360148531,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472343.24,887,2021,TanadaCopperLakes,456,45,115,264,1600,-0.471898549,146,419
116,TN-3-2021,TN-3-2021,TN-3-21,TN-3,2021-08-04,NA,Tanada,9/5/21,62.45133,-143.382153,1.944,47.5,NA,4.7,NA,12,NA,6.2,29,F,0.168,4-D5,7,0.488,NA,NA,NA,NA,4.7,NA,NA,1.721,2-G5,N,Y,5,Y,Y,0.074,1.7,1.5,1.2,0.9,0.9,0.8,1,0.9,,0,10/29/21,107.3,11/3/21,28.6,0.7335,0.2665,NA,11/4/21,2,0.2719,923.3914,23.577,6.28427027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472343.24,887,2021,TanadaCopperLakes,475,47,120,290,1944,0.377802471,168,419
117,TN-5-2021,TN-5-2021,TN-5-21,TN-5,2021-08-04,NA,Tanada,9/4/21,62.45133,-143.382153,1.77,45.5,NA,4,NA,10.5,NA,6.8,26.8,F,0.156,4-B3,10,0.498,NA,NA,NA,NA,3.25,NA,NA,1.556,2-E11,N,Y,5,Y,Y,0.072,1.2,1,0.8,0.9,0.7,1.2,0.7,1,,0,10/29/21,78.9,11/3/21,21.8,0.7237,0.2763,NA,11/4/21,2,0.2455,923.3914,24.1094,6.66140583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472343.24,887,2021,TanadaCopperLakes,455,40,105,268,1770,-0.704289068,156,419
118,TN-8-2021,TN-8-2021,TN-8-21,TN-8,2021-08-04,NA,Tanada,9/5/21,62.45133,-143.382153,1.462,44.4,NA,4.2,NA,10.8,NA,6.3,26,F,0.14,4-C2,5,0.2528,NA,NA,NA,NA,3.5,NA,NA,1.27,2-F6,N,Y,5,Y,Y,0.064,1,1.1,1.1,0.8,0.8,0.7,0.9,1,,0,10/29/21,117,11/3/21,30.2,0.7419,0.2581,NA,11/4/21,2,0.2636,923.3914,23.5525,6.079363248,2,0.2942,923.3914,22.5869,5.830122906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472343.24,887,2021,TanadaCopperLakes,444,42,108,260,1462,-0.932658417,140,419
119,TN-9-2021,TN-9-2021,TN-9-21,TN-9,2021-08-04,NA,Tanada,9/5/21,62.45133,-143.382153,1.78,46.6,NA,4.6,NA,11.7,NA,6.2,28,F,0.218,4-D7,6,0.7129,NA,NA,NA,NA,4.05,NA,NA,1.504,2-G7,N,Y,5,Y,Y,0.092,1.1,1,1.1,1.2,0.8,0.9,0.8,0.7,,0,10/29/21,77.3,11/3/21,21.2,0.7257,0.2743,NA,11/4/21,2,0.3285,922.7887,21.8297,5.986929366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472343.24,887,2021,TanadaCopperLakes,466,46,117,280,1780,-0.008224428,218,419
120,TN-11-2021,TN-11-2021,TN-11-21,TN-11,2021-08-04,NA,Tanada,9/5/21,62.45133,-143.382153,1.412,42.5,NA,3.8,NA,11.3,NA,5.6,26.6,F,0.152,4-E1,8,0.6249,NA,NA,NA,NA,3.75,NA,NA,1.21,2-G9,N,Y,5,Y,Y,0.066,0.9,0.9,0.8,0.8,0.7,0.7,1.1,0.8,,0,10/29/21,102.8,11/3/21,27.2,0.7354,0.2646,NA,11/4/21,2,0.3422,922.7887,24.3945,6.454575875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,472343.24,887,2021,TanadaCopperLakes,425,38,113,266,1412,-1.043641799,152,419
